,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
38,-20,-20,-40,-40,-40,-40,20,0,-80,-80,-80,-80,67,-20,-20,-20,-20,-20,40,80,-80,-80,-80,-80,40,80,-80,-80,-80,-80,40,80,-72,30,24,27
39,40,-40,-20,-40,-40,-40,40,0,20,-80,-80,-80,-20,80,20,22,10,-6,40,80,20,80,80,40,40,80,20,80,-8,23,40,80,20,80,-8,23
40,-40,-40,20,-40,-80,-40,40,0,20,20,20,20,-20,-20,-20,-20,-20,-20,40,80,20,20,20,20,40,80,20,20,20,20,51,80,20,20,20,20
41,-20,-20,-20,-40,-40,-40,20,0,20,20,20,20,43,80,20,20,20,20,40,80,20,20,20,20,40,80,20,20,20,20,40,80,20,20,20,20
42,-40,-40,-20,-40,-40,-20,40,0,-80,-80,-80,-80,-20,80,5,-6,-19,4,-20,80,63,-18,63,-18,20,80,-5,2,66,4,40,80,63,76,63,80
43,40,-40,20,-71,-80,-40,40,0,-80,-80,-80,-80,40,-20,-20,-20,-20,-20,40,80,54,59,48,-64,40,80,-64,59,48,-64,80,80,-64,59,48,-62
44,-20,-20,-40,-80,-40,-20,20,0,20,20,20,20,40,-20,-20,-20,-20,-20,20,80,20,20,20,20,20,80,20,20,20,20,-20,80,20,20,20,20
45,20,-40,-20,20,-80,-20,40,0,-80,-79,-80,-80,20,80,-14,-9,-47,-47,40,80,-58,-58,-58,-58,20,80,-17,-17,-17,-17,-20,80,-25,-25,-25,-25
46,-20,-20,20,-20,-20,-20,20,0,-80,-79,-80,-80,40,80,12,15,19,22,40,80,11,15,20,22,20,80,16,15,20,22,20,80,7,58,67,67
47,40,-40,-20,-20,-40,-20,40,5,-80,20,20,20,40,-20,-20,-20,-20,-20,80,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20
