Winner,Player1,Player2,Init.Score1,Init.Score2,Final.Score1,Final.Score2
0,MindistScore,Random,68,78,0,20
0,MindistScore,Random,39,80,0,73
0,MindistScore,Random,24,80,0,80
0,MindistScore,Random,41,80,0,80
0,MindistScore,Random,80,51,0,80
0,MindistScore,Random,38,76,0,80
0,MindistScore,Random,80,29,0,39
0,MindistScore,Random,76,80,0,58
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,57,74,0,40
0,MindistScore,Random,32,10,0,80
0,MindistScore,Random,48,19,0,47
0,MindistScore,Random,45,72,0,80
0,MindistScore,Random,64,80,0,80
0,MindistScore,Random,24,42,0,45
0,MindistScore,Random,75,80,0,80
0,MindistScore,Random,80,80,0,52
0,MindistScore,Random,74,51,0,80
0,MindistScore,Random,52,80,0,80
0,MindistScore,Random,79,77,0,33
0,MindistScore,Random,52,30,0,80
0,MindistScore,Random,80,30,0,51
0,MindistScore,Random,80,74,0,70
0,MindistScore,Random,80,73,0,60
0,MindistScore,Random,74,73,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,43,80,0,80
0,MindistScore,Random,80,80,0,41
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,74,53,0,80
0,MindistScore,Random,80,48,0,75
0,MindistScore,Random,74,80,0,80
0,MindistScore,Random,80,80,0,70
0,MindistScore,Random,75,38,0,80
0,MindistScore,Random,70,22,0,47
0,MindistScore,Random,61,69,0,50
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,47,16,0,28
0,MindistScore,Random,66,80,0,80
0,MindistScore,Random,80,6,0,80
0,MindistScore,Random,80,80,0,54
0,MindistScore,Random,80,80,0,74
0,MindistScore,Random,80,33,0,80
0,MindistScore,Random,80,31,0,15
0,MindistScore,Random,80,22,0,42
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,79,80,0,77
0,MindistScore,Random,38,75,0,24
0,MindistScore,Random,64,80,0,80
0,MindistScore,Random,9,80,0,77
0,MindistScore,Random,73,76,0,80
0,MindistScore,Random,73,60,0,39
0,MindistScore,Random,27,56,0,44
0,MindistScore,Random,65,80,0,80
0,MindistScore,Random,55,80,0,80
0,MindistScore,Random,80,51,0,80
0,MindistScore,Random,55,80,0,66
0,MindistScore,Random,80,74,0,51
0,MindistScore,Random,53,80,0,80
0,MindistScore,Random,61,13,0,80
0,MindistScore,Random,80,31,0,80
0,MindistScore,Random,59,80,0,60
0,MindistScore,Random,80,20,0,27
0,MindistScore,Random,80,28,0,42
0,MindistScore,Random,80,76,0,71
0,MindistScore,Random,80,71,0,68
0,MindistScore,Random,21,24,0,31
0,MindistScore,Random,66,19,0,17
0,MindistScore,Random,46,9,0,33
0,MindistScore,Random,14,80,0,20
0,MindistScore,Random,69,80,0,80
0,MindistScore,Random,78,77,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,47,41,0,24
0,MindistScore,Random,80,80,0,40
0,MindistScore,Random,76,80,0,32
0,MindistScore,Random,74,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,61,56,0,80
0,MindistScore,Random,80,36,0,52
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,39,0,80
0,MindistScore,Random,80,75,0,80
0,MindistScore,Random,73,80,0,80
0,MindistScore,Random,40,67,0,60
0,MindistScore,Random,80,80,0,37
0,MindistScore,Random,22,80,0,77
0,MindistScore,Random,80,80,0,77
0,MindistScore,Random,75,63,0,21
0,MindistScore,Random,77,5,0,20
0,MindistScore,Random,80,74,0,19
0,MindistScore,Random,77,72,0,13
0,MindistScore,Random,41,80,0,69
0,MindistScore,Random,80,80,0,79
0,MindistScore,Random,80,33,0,32
0,MindistScore,Random,69,25,0,56
0,MindistScore,Random,77,74,0,80
0,MindistScore,Random,64,77,0,80
0,MindistScore,Random,80,24,0,51
0,MindistScore,Random,66,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,69,46,0,80
0,MindistScore,Random,70,80,0,80
0,MindistScore,Random,79,80,0,66
0,MindistScore,Random,72,67,0,70
0,MindistScore,Random,23,70,0,39
0,MindistScore,Random,14,37,0,52
0,MindistScore,Random,79,54,0,57
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,49,0,74
0,MindistScore,Random,80,67,0,23
0,MindistScore,Random,68,72,0,80
0,MindistScore,Random,43,80,0,80
0,MindistScore,Random,38,35,0,35
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,45,55,0,61
0,MindistScore,Random,80,45,0,80
0,MindistScore,Random,52,80,0,53
0,MindistScore,Random,80,73,0,18
0,MindistScore,Random,80,22,0,79
0,MindistScore,Random,38,76,0,80
0,MindistScore,Random,80,78,0,80
0,MindistScore,Random,80,80,0,42
0,MindistScore,Random,80,51,0,53
0,MindistScore,Random,79,80,0,79
0,MindistScore,Random,55,59,0,80
0,MindistScore,Random,80,32,0,75
0,MindistScore,Random,80,80,0,80
1,MindistScore,Random,26,76,9,0
0,MindistScore,Random,80,80,0,6
