init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
40 47 6 6 48 2 17 37 39 36 2 13 32,46 18 0 42 19 45 1 11 50 31 43 13 52,40,0,8,0,14,47 48 49 46 40 13 15 50 37 24 14 2 4,1 0 12 2 52 29 31 27 18 31 13 26 15,1,2,1
28 20 23 50 30 20 11 34 5 31 35 30 34,42 50 31 44 16 42 29 22 49 12 15 2 18,3,0,29,0,39,34 35 36 5 6 7 4 30 43 1 14 27 40,42 16 42 29 13 13 0 0 39 15 2 15 31,2,0,2
30 26 22 41 32 45 34 36 20 21 27 15 40,25 9 8 51 39 52 43 24 37 18 49 4 42,26,17,0,1,13,22 20 21 26 34 36 41 15 28 27 40 16 30,51 49 50 9 8 39 25 52 24 42 43 44 39,2,2,0
49 30 5 29 50 13 8 12 20 38 36 2 41,7 51 6 0 33 40 34 52 23 21 31 32 25,44,80,0,1,11,49 30 5 29 50 13 8 12 20 38 36 2 41,33 34 32 23 21 22 52 51 25 40 1 27 31,2,0,2
7 3 42 5 29 6 38 49 28 26 11 35 17,27 30 44 4 8 23 19 48 25 5 19 49 23,20,0,45,0,18,17 18 19 7 5 6 8 3 42 29 15 52 28,48 49 50 47 13 27 41 41 30 4 43 44 5,2,0,2
42 7 4 45 20 9 37 6 16 35 6 2 7,9 33 22 50 46 39 50 40 30 42 31 45 15,29,0,80,0,5,37 35 36 42 7 4 6 9 16 7 6 45 19,9 33 22 50 46 39 50 40 30 42 31 45 15,1,2,1
13 13 34 44 12 37 14 49 42 18 51 40 0,46 27 12 15 38 28 31 32 47 32 25 34 5,6,32,0,1,20,42 44 43 13 13 0 26 14 40 40 28 3 30,2 3 1 32 32 46 15 28 2 31 5 44 19,1,1,2
14 33 46 44 22 49 51 42 19 9 48 44 0,12 18 43 8 11 0 24 36 23 49 48 15 37,28,13,0,1,21,46 44 45 26 27 38 42 44 2 0 14 14 3,24 23 22 12 0 1 15 51 49 16 18 41 19,2,2,0
11 0 40 1 20 15 27 22 43 31 17 50 16,15 42 52 44 20 8 6 43 5 4 19 14 39,9,40,0,1,3,15 17 16 0 1 22 26 40 27 43 31 20 11,6 5 4 52 20 19 42 44 43 45 14 15 48,2,2,0
1 52 32 22 31 25 44 38 26 37 11 7 32,49 42 17 15 14 52 44 43 33 35 29 15 48,8,15,0,1,18,32 31 33 52 38 37 47 32 30 26 1 15 4,42 44 43 14 13 25 41 15 52 49 48 46 47,3,0,1
48 51 51 35 50 39 17 38 46 23 16 3 31,27 45 32 14 41 47 30 34 6 7 13 44 49,39,31,0,1,9,17 16 18 19 48 51 50 39 40 3 31 18 46,6 7 8 13 30 32 0 27 14 44 45 47 46,2,1,1
12 16 47 50 10 40 31 11 49 17 8 45 51,36 8 48 21 51 21 19 14 23 39 47 29 12,42,0,80,0,7,12 10 11 50 49 51 47 8 34 16 17 15 18,36 8 48 21 51 21 19 14 23 39 47 29 12,3,0,1
38 50 5 21 30 16 9 43 30 31 5 14 21,16 18 49 41 26 4 8 28 10 13 38 24 15,12,74,0,1,8,38 0 14 16 30 43 30 4 5 31 5 7 50,18 19 20 21 38 16 18 41 28 15 26 13 39,1,1,2
21 23 48 35 13 39 22 16 48 20 47 45 18,46 15 22 0 44 30 11 36 26 39 1 43 40,7,0,2,0,16,21 23 22 20 18 19 48 47 49 50 16 33 14,0 1 2 12 46 44 43 52 30 29 26 27 39,3,1,0
24 47 45 31 25 42 49 40 16 38 30 21 9,38 29 10 34 13 32 26 8 48 22 27 6 32,35,23,0,1,13,31 30 29 40 42 41 9 45 47 44 16 19 24,38 26 27 34 32 48 10 8 22 13 15 52 25,1,3,0
37 26 47 48 41 18 17 9 18 14 24 28 12,8 36 51 39 7 3 12 38 22 27 43 4 25,34,57,0,1,5,47 48 49 26 14 41 28 3 17 18 18 7 37,51 39 40 8 36 35 12 38 25 4 43 8 52,1,1,2
42 30 25 26 31 49 49 40 15 11 48 45 21,44 8 51 32 52 39 4 21 14 24 7 34 11,46,80,0,1,16,42 30 25 26 31 49 49 40 15 11 48 45 21,32 34 33 51 52 50 7 28 29 8 21 47 20,1,2,1
8 35 51 50 17 47 6 1 33 7 40 21 28,46 29 13 17 18 41 9 45 26 48 12 37 31,20,35,0,1,10,8 6 7 51 50 33 1 40 28 3 17 4 45,29 31 30 17 18 16 46 13 26 9 48 35 20,2,0,2
0 47 36 41 36 13 4 9 39 12 23 33 15,6 44 11 1 46 20 35 7 48 31 45 3 52,30,54,0,1,27,4 0 13 39 13 41 15 28 29 3 6 6 45,44 46 45 47 52 19 20 31 44 18 22 17 35,1,1,2
25 26 11 40 8 21 50 17 47 27 29 15 1,10 3 33 24 2 49 13 29 22 40 49 20 44,15,28,0,1,11,40 42 41 15 25 14 26 27 1 1 29 17 4,22 20 21 2 51 40 49 10 52 3 29 41 28,1,1,2
6 49 25 16 32 33 7 18 4 1 16 27 19,3 34 45 38 6 52 26 48 20 10 42 7 41,31,0,47,0,16,0 1 12 18 15 16 6 32 19 44 16 3 52,6 7 8 38 52 26 41 3 42 30 45 20 34,1,1,2
