,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
83,-43,0,-62,-30,-79,-75,0,0,-80,-60,-60,-60,24,44,-2,-2,8,13,80,40,-7,-7,-7,-7,71,80,14,14,19,19,80,30,14,14,19,19
84,46,6,-80,-80,-78,-80,0,0,-80,-80,-80,-80,77,74,-2,-11,-19,-19,80,80,-2,-20,17,-20,80,80,6,-24,-18,-18,47,80,16,-24,2,-23
85,-10,39,-80,-80,-80,-80,0,0,-80,-80,-80,-80,66,80,9,16,-5,-80,80,80,9,16,27,27,80,80,9,16,27,27,80,80,27,55,50,50
86,-10,11,-47,-80,-52,-78,0,-32,-80,-80,-80,-80,14,0,-80,-80,-80,-80,80,80,-80,80,80,-69,70,80,-65,80,-26,-80,58,80,5,29,12,-80
87,0,52,-79,-80,-51,-80,0,0,-80,-80,-80,-80,76,80,-8,-2,-11,-57,80,80,-37,-11,-37,-11,79,80,-9,-54,-9,-64,80,80,-19,20,-25,-64
88,30,11,-26,-59,-80,-37,-3,0,-80,-80,-80,-80,80,80,76,4,-4,-4,64,80,76,76,80,80,74,80,76,76,80,80,80,80,76,76,80,80
89,36,0,-45,-75,-80,-80,-14,-17,-80,-80,-80,-80,80,80,-2,-4,25,16,10,79,5,9,13,13,80,80,5,23,28,28,51,80,5,23,28,28
90,-6,16,-74,-64,-42,-33,-2,0,-80,-80,-80,-80,80,80,-32,-37,-15,-32,41,80,-41,-41,-41,-41,55,80,26,-47,-47,-47,80,80,3,-47,-47,-47
91,-6,1,-80,-80,-80,-61,-35,-11,-80,-80,-80,-80,69,80,-2,24,-8,25,80,80,2,3,-65,-65,80,80,10,3,-72,-72,48,80,-78,24,14,-78
92,-11,0,-80,-80,-80,-80,-5,0,-80,-80,-80,-80,80,80,-80,-78,-78,-78,80,80,-76,-76,-76,-27,80,80,-74,-71,-77,-71,80,80,-79,-79,3,-74
93,-39,4,-80,-77,-77,-60,-15,0,-80,-80,-80,-80,80,80,33,-9,38,34,47,80,17,17,22,22,80,80,19,37,28,34,18,80,23,9,28,10
94,0,0,-68,-80,-80,-80,-7,-5,-80,-80,-80,-80,41,80,8,-80,24,32,68,80,73,69,-22,47,79,80,74,80,67,77,47,80,74,80,79,77
95,0,38,-80,-80,-80,-57,0,0,-80,-80,-80,-80,74,80,-80,-37,-80,-37,80,80,-59,-80,-80,-80,48,80,-65,-37,-18,-71,80,80,-44,-80,-80,-80
96,80,31,-80,-46,-20,-80,-8,0,-80,-72,-80,-80,77,80,78,80,-13,-13,80,80,14,19,12,18,80,80,14,19,-3,-3,80,80,-6,-17,-17,-22
97,10,80,-43,-80,-80,-80,-12,0,-80,-80,-80,-80,80,80,22,63,46,33,80,80,19,18,54,23,64,80,9,25,5,10,75,80,18,29,5,16
98,-18,0,-80,-80,-80,-79,0,0,-80,-80,-80,-80,72,80,-13,-13,17,-2,51,80,9,-10,-10,-10,61,80,14,-3,-2,-2,80,80,-3,-32,-33,-33
99,-4,14,-69,-33,-24,-80,0,0,-80,-80,-80,-80,80,80,-2,-4,-2,-5,80,80,-23,12,2,12,80,80,14,-19,-19,-13,77,80,10,-44,23,12
100,80,0,-80,-80,-59,-80,-41,0,-80,-80,-80,-80,66,80,-15,13,-29,-29,9,80,19,-7,-19,-19,77,80,4,-10,-12,-12,66,80,4,-10,22,25
101,5,11,-66,-80,-80,-80,-49,0,-80,-80,-80,-80,73,80,-9,-12,15,-23,80,80,-48,-13,22,24,77,80,-16,74,-59,-59,80,80,4,8,-13,-53
102,0,0,-72,-17,-80,-80,-37,0,-80,-80,-80,-80,65,80,-31,-31,-28,-28,80,80,-65,-60,-65,-65,11,80,-47,-47,-47,-29,80,80,-32,-36,-40,-40
103,-40,73,-31,-80,-80,-77,0,0,-80,-80,-80,-80,80,80,-80,-80,-80,-80,69,80,-80,-80,-80,-80,80,68,-80,-80,-80,-80,80,80,-79,-80,10,-80
104,-46,80,-80,-80,-29,-80,-3,0,-80,-80,-80,-80,80,69,-23,-23,-21,-21,80,80,-30,-30,-30,-30,80,80,-5,-5,-7,-7,80,68,-38,-16,-16,-16
105,57,49,-80,-80,-57,-80,-3,0,-80,-80,-80,-80,80,80,77,80,77,77,80,72,55,55,56,56,70,80,77,80,77,77,80,80,77,80,77,77
106,-57,0,-69,-80,-80,-80,0,0,-80,-80,-80,-80,80,80,-60,-14,-19,-19,80,80,38,35,26,-37,80,80,10,-6,26,-27,67,80,38,35,26,-25
107,0,0,-80,-75,-80,-79,0,9,-80,-80,-80,-80,80,80,-80,-80,-80,-80,80,80,-80,-80,-80,-80,80,80,-80,-80,-80,-80,69,80,-80,-80,-80,-80
108,21,0,-80,-78,-80,-23,-44,0,-80,-80,-80,-80,80,80,37,58,40,8,80,80,34,58,43,58,78,80,-17,66,50,50,80,80,20,66,50,50
109,0,0,-80,-40,-80,-80,-80,0,-80,-80,-80,-80,80,80,-19,-62,-66,-62,78,80,-74,-12,-76,-76,80,80,-77,-4,-80,-80,80,80,-80,-80,-80,-80
110,0,22,-80,-80,-74,-57,-10,0,-80,-80,-80,-80,80,80,2,-13,-11,-44,69,80,8,-80,68,4,47,80,35,-80,-80,-80,33,80,10,-72,-66,6
111,1,0,-80,-80,-80,-80,0,0,-80,-80,-80,-80,80,80,-23,-25,-7,-50,41,80,-43,80,-15,80,51,80,-32,-44,-28,-34,80,80,-21,-14,-22,-29
112,-4,80,-80,-80,-80,-80,-75,41,-80,-80,-80,-80,30,80,-19,-58,-66,-59,72,80,-79,-12,-12,-12,74,80,-8,-19,13,-10,80,80,-8,-37,5,20
113,-35,0,-80,-80,-80,-49,-58,0,-76,-80,-80,-80,76,80,-33,-71,-2,-71,42,80,-13,-75,-65,-75,80,80,-59,-80,-80,-80,80,80,10,-61,-74,-18
114,-30,5,-78,-30,-80,-48,0,0,-80,-80,-80,-80,80,80,-46,-19,-14,-24,69,80,-10,-10,-10,-10,80,80,43,-67,-26,-11,75,80,-10,18,13,18
115,-5,80,-80,-21,-80,-80,0,0,-80,-32,-55,-55,80,80,65,78,69,75,80,80,72,72,67,69,80,59,69,72,-9,75,24,80,69,72,73,75
116,-3,20,-80,-72,-65,-80,0,0,-80,-75,-75,-75,80,80,-52,-52,-52,-52,15,52,-32,-58,-58,-58,80,80,-51,-51,-51,-51,80,59,-51,-51,-51,-51
