,mscore
387,44
388,15
389,50
390,48
391,46
392,53
393,31
394,49
395,28
396,23
397,25
398,41
399,38
400,79
401,28
402,45
403,37
404,49
405,28
406,67
407,46
408,54
409,51
410,29
411,80
412,41
413,49
414,31
415,43
416,22
417,25
418,10
419,73
420,56
421,19
422,39
423,52
424,51
425,38
426,30
427,35
428,32
429,13
430,39
431,28
432,78
433,20
434,5
435,24
436,33
437,48
438,58
439,22
440,80
441,45
442,70
443,47
444,25
445,80
446,51
447,51
448,53
449,30
450,50
451,54
452,22
453,68
454,10
455,13
456,45
457,26
458,50
459,42
460,29
461,80
462,33
463,21
464,2
465,30
466,63
467,60
468,39
469,80
470,48
471,77
472,46
473,46
474,10
475,56
476,47
477,44
478,44
479,26
480,45
481,42
482,34
483,49
484,65
485,79
486,41
487,42
488,54
489,39
490,34
491,33
492,33
493,30
494,8
495,49
496,23
497,33
498,74
499,15
500,47
501,51
502,39
503,73
504,30
505,22
506,33
507,30
508,79
509,50
510,22
511,25
512,70
513,54
514,48
515,42
516,32
517,36
518,48
519,38
520,80
521,68
522,49
523,53
524,34
525,56
526,62
527,64
528,27
529,44
530,73
531,19
532,39
533,18
534,41
535,29
536,71
537,24
538,12
539,30
540,41
541,26
542,64
543,37
544,26
545,46
546,53
547,41
548,23
549,48
550,55
551,47
552,6
553,76
554,63
555,53
556,53
557,50
558,80
559,72
560,69
561,45
562,57
563,13
564,64
565,78
566,52
567,42
568,53
569,80
570,30
571,41
572,22
573,33
574,18
575,47
576,21
577,73
578,36
579,45
580,39
581,31
582,73
583,45
584,73
585,30
586,44
587,26
588,47
589,18
590,80
591,46
592,22
593,31
594,4
595,21
596,17
597,17
598,52
599,69
600,72
601,16
602,36
603,41
604,36
605,39
606,43
607,70
608,30
609,65
610,62
611,50
612,22
613,80
614,9
615,58
616,25
617,55
618,59
619,26
620,50
621,26
622,34
623,30
624,53
625,68
626,45
627,64
628,73
629,69
630,48
631,23
632,80
633,51
634,29
635,42
636,20
637,40
638,24
639,46
640,37
641,50
642,49
643,4
644,32
645,7
646,45
647,43
648,28
649,77
650,23
651,52
652,26
653,25
654,41
655,30
656,43
657,39
658,43
659,49
660,23
661,45
662,57
663,46
664,40
665,41
666,16
667,25
668,35
669,52
670,44
671,25
672,47
673,80
674,31
675,72
676,20
677,62
678,43
679,23
680,23
681,41
682,42
683,67
684,26
685,23
686,42
687,29
688,24
689,57
690,66
691,80
692,51
693,43
694,44
695,60
696,24
697,59
698,38
699,45
700,15
701,43
702,57
703,72
704,11
705,48
706,46
707,48
708,30
709,36
710,33
711,44
712,53
713,44
714,74
715,38
716,21
717,47
718,19
719,79
720,64
721,30
722,33
723,50
724,46
725,50
726,80
727,53
728,25
729,26
730,15
731,19
732,43
733,24
734,21
735,52
736,30
737,36
738,36
739,31
740,69
741,20
742,44
743,54
744,25
745,69
746,23
747,54
748,34
749,21
750,21
751,42
752,40
753,80
754,14
755,80
756,58
757,44
758,29
759,34
760,64
761,34
762,45
763,80
764,32
765,56
766,50
767,44
768,50
769,63
770,54
771,19
772,29
773,25
774,27
775,26
776,28
777,70
778,37
779,32
780,60
781,40
782,50
783,17
784,71
785,53
786,20
787,73
788,50
789,42
790,21
791,61
792,11
793,20
794,50
795,27
796,47
797,80
798,76
799,27
800,22
801,20
802,45
803,27
804,52
805,29
806,18
807,52
808,80
809,29
810,22
811,14
812,43
813,43
814,70
815,33
816,45
817,51
818,11
819,23
820,11
821,3
822,53
823,51
824,54
825,18
826,29
827,8
828,34
829,25
830,31
831,40
832,57
833,68
834,15
835,75
836,32
837,51
838,72
839,54
840,25
841,32
842,80
843,27
844,56
845,47
846,49
847,72
848,55
849,80
850,43
851,40
852,30
853,39
854,35
855,36
856,15
857,60
858,78
859,41
860,80
861,80
862,41
863,21
864,28
865,23
866,46
867,13
868,33
869,55
870,45
871,44
872,44
873,28
874,45
875,23
876,53
877,68
878,43
879,32
880,47
881,69
882,52
883,44
884,34
885,27
886,39
887,39
888,58
889,27
890,54
891,80
892,23
893,34
894,67
895,37
896,49
897,29
898,40
899,57
900,50
901,25
902,52
903,23
904,22
905,3
906,21
907,16
908,19
909,28
910,25
911,19
912,38
913,35
914,23
915,26
916,25
917,22
918,67
919,26
920,33
921,52
922,48
923,72
924,44
925,24
926,64
927,49
928,35
929,38
930,24
931,43
932,70
933,52
934,78
935,31
936,25
937,55
938,46
939,44
940,56
941,26
942,80
943,32
944,67
945,25
946,32
947,22
948,15
949,60
950,49
951,40
952,49
953,42
954,27
955,16
956,80
957,56
958,25
959,64
960,22
961,40
962,50
963,80
964,71
965,49
966,35
967,9
968,76
969,48
970,27
971,25
972,45
973,28
974,7
975,42
976,17
977,60
978,52
979,78
980,45
981,21
982,30
983,22
984,27
985,7
986,20
987,33
988,15
989,19
990,61
991,61
992,29
993,48
994,20
995,74
996,39
997,32
998,74
999,50
1000,35
1001,34
1002,76
1003,30
1004,80
1005,31
1006,55
1007,62
1008,34
1009,71
1010,23
1011,22
1012,51
1013,67
1014,22
1015,64
1016,5
1017,15
1018,63
1019,24
1020,67
1021,27
1022,55
1023,14
1024,66
1025,41
1026,23
1027,27
1028,53
1029,78
1030,22
1031,6
1032,74
1033,53
1034,47
1035,36
1036,46
1037,37
1038,44
1039,51
1040,48
1041,58
1042,50
1043,29
1044,80
1045,21
1046,37
1047,10
1048,72
1049,58
1050,17
1051,43
1052,57
1053,40
1054,30
1055,39
1056,16
1057,45
1058,65
1059,32
1060,55
1061,44
1062,52
1063,50
1064,25
1065,10
1066,26
1067,4
1068,17
1069,76
1070,53
1071,48
1072,52
1073,72
1074,47
1075,46
1076,56
1077,45
1078,48
1079,29
1080,77
1081,36
1082,45
1083,37
1084,22
1085,39
1086,59
1087,57
1088,38
1089,30
1090,38
1091,59
1092,31
1093,37
1094,33
1095,16
1096,49
1097,42
1098,10
1099,8
1100,69
1101,17
1102,37
1103,43
1104,23
1105,56
1106,31
1107,66
1108,40
1109,18
1110,36
1111,53
1112,40
1113,27
1114,43
1115,12
1116,6
1117,69
1118,18
1119,48
1120,80
1121,31
1122,53
1123,32
1124,38
1125,40
1126,5
1127,42
1128,45
1129,29
1130,24
1131,48
1132,47
1133,64
1134,31
1135,32
1136,49
1137,45
1138,63
1139,32
1140,36
1141,21
1142,61
1143,80
1144,53
1145,77
1146,46
1147,34
1148,79
1149,37
1150,6
1151,27
1152,71
1153,19
1154,75
1155,54
1156,62
1157,28
1158,37
1159,50
1160,0
1161,71
1162,21
1163,48
1164,23
1165,80
1166,47
1167,73
1168,54
1169,37
1170,46
1171,52
1172,21
1173,37
1174,44
1175,28
1176,23
1177,28
1178,22
1179,34
1180,20
1181,65
1182,38
1183,60
1184,38
1185,19
1186,54
1187,42
1188,18
1189,21
1190,32
1191,24
1192,25
1193,30
1194,18
1195,67
1196,80
1197,2
1198,40
1199,10
1200,29
1201,41
1202,29
1203,46
1204,16
1205,42
1206,24
1207,22
1208,32
1209,15
1210,43
1211,39
1212,19
1213,17
1214,32
1215,45
1216,64
1217,35
1218,2
1219,31
1220,67
1221,55
1222,55
1223,30
1224,23
1225,59
1226,23
1227,19
1228,40
1229,41
1230,12
1231,33
1232,74
1233,20
1234,30
1235,32
1236,43
1237,66
1238,41
1239,53
1240,48
1241,46
1242,28
1243,45
1244,47
1245,20
1246,63
1247,80
1248,39
1249,49
1250,24
1251,43
1252,63
1253,68
1254,80
1255,37
1256,45
1257,40
1258,26
1259,30
1260,35
1261,21
1262,45
1263,70
1264,23
1265,76
1266,53
1267,48
1268,47
1269,34
1270,19
1271,73
1272,52
1273,59
1274,32
1275,21
1276,40
1277,25
1278,60
1279,48
1280,79
1281,32
1282,42
1283,45
1284,50
1285,36
1286,44
1287,22
1288,52
1289,48
1290,43
1291,18
1292,50
1293,80
1294,32
1295,77
1296,63
1297,67
1298,26
1299,57
1300,50
1301,24
1302,19
1303,25
1304,48
1305,24
1306,39
1307,53
1308,80
1309,13
1310,15
1311,24
1312,43
1313,32
1314,21
1315,58
1316,35
1317,27
1318,42
1319,43
1320,44
1321,50
1322,21
1323,19
1324,17
1325,26
1326,47
1327,40
1328,30
1329,74
1330,44
1331,49
1332,22
1333,17
1334,26
1335,23
1336,52
1337,31
1338,30
1339,42
1340,71
1341,29
1342,50
1343,49
1344,30
1345,29
1346,78
1347,79
1348,69
1349,80
1350,23
1351,58
1352,80
1353,33
1354,14
1355,27
1356,2
1357,4
1358,39
1359,56
1360,66
1361,13
1362,77
1363,46
1364,37
1365,48
1366,50
1367,10
1368,71
1369,23
1370,50
1371,18
1372,52
1373,22
1374,13
1375,41
1376,65
1377,38
1378,26
1379,49
1380,48
1381,29
1382,10
1383,20
1384,46
1385,76
1386,42
1387,52
1388,59
1389,50
1390,69
1391,27
1392,49
1393,36
1394,79
1395,10
1396,45
1397,40
1398,33
1399,71
1400,48
1401,70
1402,73
1403,79
1404,66
1405,76
1406,43
1407,27
1408,42
1409,27
1410,44
1411,9
1412,17
1413,65
1414,55
1415,25
1416,42
1417,71
1418,27
1419,36
1420,76
1421,70
1422,75
1423,16
1424,55
1425,34
1426,46
1427,46
1428,31
1429,41
1430,52
1431,69
1432,33
1433,16
1434,48
1435,72
1436,11
1437,56
1438,50
1439,25
1440,73
1441,55
1442,35
1443,50
1444,20
1445,50
1446,27
1447,50
1448,49
1449,42
1450,49
1451,50
1452,73
1453,78
1454,64
1455,68
1456,49
1457,37
1458,24
1459,70
1460,27
1461,79
1462,26
1463,51
1464,41
1465,18
1466,46
1467,24
1468,53
1469,46
1470,48
1471,38
1472,12
1473,80
1474,46
1475,45
1476,79
1477,46
1478,32
1479,70
1480,29
1481,43
1482,73
1483,10
1484,34
1485,24
1486,40
1487,70
1488,33
1489,76
1490,48
1491,18
1492,42
1493,31
1494,31
1495,42
1496,20
1497,17
1498,28
1499,44
1500,58
1501,32
1502,19
1503,50
1504,58
1505,45
1506,14
1507,3
1508,62
1509,64
1510,80
1511,45
1512,46
1513,45
1514,44
1515,58
1516,41
1517,27
1518,47
1519,57
1520,42
1521,52
1522,80
1523,52
1524,20
1525,38
1526,55
1527,64
1528,51
1529,20
1530,13
1531,44
1532,32
1533,63
1534,17
1535,40
1536,80
1537,36
1538,34
1539,37
1540,35
1541,24
1542,40
1543,49
1544,73
1545,66
1546,79
1547,23
1548,46
1549,37
1550,47
1551,50
1552,49
1553,52
1554,25
1555,26
1556,47
1557,42
1558,41
1559,49
1560,56
1561,14
1562,80
1563,19
1564,77
1565,49
1566,35
1567,44
1568,48
1569,50
1570,18
1571,52
1572,18
1573,79
1574,32
1575,30
1576,20
1577,47
1578,30
1579,61
1580,34
1581,32
1582,30
1583,62
1584,37
1585,42
1586,33
1587,25
1588,25
1589,46
1590,80
1591,17
1592,41
1593,59
1594,51
1595,45
1596,49
1597,45
1598,24
1599,20
1600,64
1601,13
1602,24
1603,48
1604,37
1605,42
1606,7
1607,41
1608,24
1609,45
1610,27
1611,20
1612,30
1613,40
1614,52
1615,31
1616,49
1617,20
1618,57
1619,69
1620,29
1621,41
1622,53
1623,47
1624,5
1625,57
1626,80
1627,13
1628,49
1629,42
1630,77
1631,19
1632,44
1633,44
1634,28
1635,36
1636,38
1637,0
1638,39
1639,24
1640,45
1641,37
1642,33
1643,43
1644,80
1645,31
1646,27
1647,44
1648,49
1649,47
1650,20
1651,54
1652,55
1653,35
1654,27
1655,80
1656,29
1657,32
1658,68
1659,33
1660,59
1661,20
1662,24
1663,43
1664,46
1665,22
1666,35
1667,25
1668,75
1669,27
1670,12
1671,80
1672,44
1673,53
1674,15
1675,66
1676,38
1677,43
1678,43
1679,56
1680,22
1681,53
1682,45
1683,38
1684,40
1685,32
1686,37
1687,20
1688,34
1689,75
1690,3
1691,51
1692,80
1693,63
1694,53
1695,13
1696,33
1697,52
1698,40
1699,40
1700,0
1701,42
1702,34
1703,13
1704,80
1705,40
1706,27
1707,47
1708,25
1709,63
1710,21
1711,67
1712,24
1713,21
1714,22
1715,45
1716,62
1717,33
1718,80
1719,26
1720,65
1721,24
1722,48
1723,22
1724,80
1725,48
1726,66
1727,27
1728,16
1729,39
1730,59
1731,27
1732,26
1733,69
1734,78
1735,20
1736,30
1737,70
1738,47
1739,43
1740,45
1741,50
1742,51
1743,57
1744,68
1745,21
1746,74
1747,76
1748,56
1749,35
1750,56
1751,43
1752,37
1753,50
1754,20
1755,26
1756,14
1757,41
1758,76
1759,23
1760,49
1761,47
1762,31
1763,44
1764,27
1765,39
1766,52
1767,42
1768,47
1769,35
1770,45
1771,71
1772,45
1773,32
1774,42
1775,23
1776,46
1777,21
1778,34
1779,27
1780,53
1781,50
1782,57
1783,51
1784,32
1785,53
1786,61
1787,45
1788,60
1789,23
1790,78
1791,44
1792,53
1793,43
1794,55
1795,50
1796,49
1797,57
1798,50
1799,3
1800,24
1801,46
1802,25
1803,15
1804,64
1805,37
1806,40
1807,34
1808,65
1809,41
1810,42
1811,38
1812,38
1813,49
1814,29
1815,46
1816,39
1817,51
1818,29
1819,22
1820,22
1821,22
1822,21
1823,21
1824,21
1825,46
1826,19
1827,76
1828,22
1829,51
1830,44
1831,62
1832,44
1833,15
1834,64
1835,69
1836,73
1837,19
1838,23
1839,18
1840,4
1841,46
1842,11
1843,80
1844,43
1845,52
1846,23
1847,15
1848,19
1849,50
1850,51
1851,68
1852,47
1853,30
1854,57
1855,45
1856,22
1857,56
1858,40
1859,48
1860,53
1861,70
1862,44
1863,70
1864,22
1865,23
1866,29
1867,25
1868,2
1869,26
1870,39
1871,47
1872,54
1873,69
1874,15
1875,39
1876,45
1877,67
1878,43
1879,76
1880,46
1881,44
1882,23
1883,41
1884,37
1885,50
1886,25
1887,2
1888,40
1889,47
1890,29
1891,38
1892,47
1893,28
1894,53
1895,48
1896,36
1897,34
1898,24
1899,21
1900,56
1901,26
1902,51
1903,29
1904,37
1905,47
1906,10
1907,22
1908,45
1909,40
1910,69
1911,25
1912,73
1913,50
1914,76
1915,57
1916,46
1917,14
1918,80
1919,28
1920,80
1921,54
1922,51
1923,50
1924,47
1925,35
1926,53
1927,21
1928,64
1929,77
1930,74
1931,43
1932,46
1933,35
1934,47
1935,18
1936,19
1937,16
1938,50
1939,41
1940,54
1941,65
1942,26
1943,53
1944,19
1945,74
1946,25
1947,48
1948,32
1949,26
1950,67
1951,50
1952,47
1953,69
1954,49
1955,80
1956,21
1957,59
1958,30
1959,47
1960,22
1961,5
1962,49
1963,20
1964,50
1965,24
1966,30
1967,17
1968,52
1969,29
1970,60
1971,71
1972,15
1973,74
1974,37
1975,17
1976,78
1977,32
1978,41
1979,16
1980,21
1981,48
1982,23
1983,34
1984,52
1985,29
1986,60
1987,53
1988,49
1989,42
1990,46
1991,62
1992,25
1993,64
1994,55
1995,24
1996,65
1997,17
1998,26
1999,6
2000,49
2001,47
2002,53
2003,57
2004,48
2005,48
2006,40
2007,78
2008,80
2009,55
2010,28
2011,70
2012,19
2013,68
2014,21
2015,46
2016,67
2017,51
2018,76
2019,53
2020,45
2021,23
2022,30
2023,50
2024,70
2025,50
2026,51
2027,75
2028,28
2029,27
2030,46
2031,25
2032,37
2033,71
2034,51
2035,19
2036,17
2037,40
2038,55
2039,30
2040,2
2041,19
2042,29
2043,73
2044,52
2045,26
2046,44
2047,74
2048,27
2049,40
2050,31
2051,41
2052,29
2053,46
2054,36
2055,72
2056,10
2057,21
2058,20
2059,41
2060,76
2061,31
2062,29
2063,31
2064,38
2065,11
2066,26
2067,67
2068,27
2069,43
2070,70
2071,30
2072,10
2073,5
2074,56
2075,24
2076,41
2077,25
2078,52
2079,56
2080,25
2081,73
2082,57
2083,47
2084,59
2085,60
2086,46
2087,41
2088,42
2089,50
2090,29
2091,25
2092,27
2093,18
2094,49
2095,21
2096,15
2097,39
2098,49
2099,48
2100,34
2101,25
2102,24
2103,43
2104,42
2105,49
2106,25
2107,52
2108,70
2109,26
2110,54
2111,22
2112,64
2113,30
2114,66
2115,80
2116,53
2117,28
2118,45
2119,50
2120,22
2121,44
2122,54
2123,53
2124,46
2125,53
2126,78
2127,56
2128,25
2129,72
2130,39
2131,40
2132,41
2133,34
2134,29
2135,32
2136,53
2137,25
2138,53
2139,30
2140,38
2141,25
2142,44
2143,49
2144,15
2145,70
2146,47
2147,22
2148,35
2149,32
2150,44
2151,47
2152,64
2153,52
2154,62
2155,43
2156,64
2157,54
2158,43
2159,80
2160,54
2161,77
2162,74
2163,51
2164,40
2165,25
2166,34
2167,46
2168,46
2169,72
2170,47
2171,23
2172,68
2173,38
2174,74
2175,25
2176,79
2177,17
2178,56
2179,42
2180,51
2181,2
2182,10
2183,17
2184,36
2185,48
2186,63
2187,42
2188,43
2189,68
2190,38
2191,54
2192,26
2193,16
2194,25
2195,76
2196,52
2197,78
2198,31
2199,25
2200,19
2201,72
2202,17
2203,31
2204,67
2205,42
2206,70
2207,77
2208,30
2209,50
2210,31
2211,29
2212,18
2213,43
2214,16
2215,78
2216,67
2217,38
2218,27
2219,26
2220,27
2221,55
2222,19
2223,42
2224,27
2225,70
2226,67
2227,24
2228,26
2229,61
2230,40
2231,40
2232,48
2233,31
2234,25
2235,74
2236,47
2237,42
2238,25
2239,70
2240,51
2241,43
2242,29
2243,66
2244,16
2245,39
2246,41
2247,50
2248,57
2249,25
2250,0
2251,40
2252,50
2253,33
2254,3
2255,26
2256,71
2257,46
2258,35
2259,57
2260,50
2261,61
2262,36
2263,38
2264,47
2265,32
2266,43
2267,18
2268,55
2269,71
2270,33
2271,46
2272,20
2273,24
2274,25
2275,76
2276,28
2277,40
2278,43
2279,41
2280,40
2281,0
2282,34
2283,59
2284,47
2285,49
2286,73
2287,46
2288,76
2289,73
2290,38
2291,69
2292,41
2293,58
2294,15
2295,25
2296,67
2297,64
2298,16
2299,23
2300,49
2301,20
2302,20
2303,51
2304,70
2305,52
2306,61
2307,52
2308,46
2309,25
2310,41
2311,15
2312,33
2313,41
2314,20
2315,20
2316,13
2317,30
2318,48
2319,3
2320,69
2321,42
2322,31
2323,11
2324,36
2325,80
2326,22
2327,68
2328,61
2329,72
2330,70
2331,26
2332,78
2333,24
2334,34
2335,49
2336,24
2337,49
2338,76
2339,80
2340,48
2341,46
2342,25
2343,77
2344,26
2345,36
2346,49
2347,49
2348,80
2349,72
2350,45
2351,72
2352,34
2353,44
2354,44
2355,44
2356,31
2357,45
2358,29
2359,62
2360,40
2361,37
2362,72
2363,61
2364,45
2365,26
2366,51
2367,70
2368,44
2369,28
2370,16
2371,77
2372,25
2373,47
2374,35
2375,46
2376,45
2377,36
2378,47
2379,55
2380,18
2381,27
2382,53
2383,56
2384,42
2385,23
2386,54
2387,17
2388,59
2389,69
2390,52
2391,22
2392,36
2393,12
2394,65
2395,22
2396,42
2397,49
2398,46
2399,33
2400,43
2401,28
2402,45
2403,44
2404,20
2405,76
2406,23
2407,16
2408,51
2409,31
2410,36
2411,75
2412,45
2413,44
2414,80
2415,21
2416,80
2417,70
2418,53
2419,54
2420,40
2421,23
2422,73
2423,45
2424,55
2425,51
2426,26
2427,22
2428,0
2429,12
2430,61
2431,32
2432,17
2433,29
2434,58
2435,27
2436,42
2437,28
2438,46
2439,35
2440,46
2441,39
2442,3
2443,30
2444,54
2445,25
2446,50
2447,75
2448,43
2449,28
2450,71
2451,3
2452,76
2453,54
2454,33
2455,27
2456,59
2457,40
2458,54
2459,31
2460,66
2461,46
2462,49
2463,40
2464,34
2465,29
2466,29
2467,23
2468,71
2469,25
2470,40
2471,37
2472,24
2473,73
2474,37
2475,24
2476,71
2477,37
2478,49
2479,45
2480,17
2481,32
2482,46
2483,48
2484,31
2485,6
2486,39
2487,53
2488,80
2489,44
2490,49
2491,30
2492,24
2493,43
2494,51
2495,59
2496,42
2497,45
2498,29
2499,30
2500,15
2501,14
2502,12
2503,36
2504,25
2505,63
2506,57
2507,75
2508,22
2509,39
2510,56
2511,35
2512,80
2513,44
2514,73
2515,80
2516,46
2517,65
2518,48
2519,42
2520,22
2521,56
2522,26
2523,17
2524,69
2525,30
2526,35
2527,30
2528,38
2529,34
2530,37
2531,76
2532,24
2533,53
2534,13
2535,36
2536,13
2537,42
2538,30
2539,51
2540,41
2541,29
2542,75
2543,48
2544,43
2545,17
2546,49
2547,50
2548,51
2549,80
2550,21
2551,74
2552,44
2553,67
2554,44
2555,43
2556,66
2557,22
2558,49
2559,60
2560,18
2561,68
2562,39
2563,45
2564,39
2565,47
2566,43
2567,14
2568,64
2569,51
2570,46
2571,23
2572,67
2573,71
2574,22
2575,51
2576,20
2577,33
2578,49
2579,61
2580,24
2581,74
2582,30
2583,22
2584,53
2585,70
2586,43
2587,77
2588,70
2589,53
2590,18
2591,64
2592,26
2593,49
2594,72
2595,29
2596,73
2597,19
2598,80
2599,71
2600,44
2601,45
2602,10
2603,46
2604,80
2605,74
2606,76
2607,74
2608,62
2609,20
2610,21
2611,41
2612,18
2613,27
2614,32
2615,46
2616,32
2617,33
2618,35
2619,15
2620,36
2621,25
2622,55
2623,71
2624,49
2625,51
2626,55
2627,32
2628,22
2629,51
2630,28
2631,26
2632,32
2633,39
2634,78
2635,46
2636,49
2637,57
2638,21
2639,34
2640,64
2641,48
2642,29
2643,45
2644,23
2645,25
2646,46
2647,40
2648,43
2649,46
2650,47
2651,54
2652,19
2653,22
2654,33
2655,47
2656,44
2657,16
2658,50
2659,42
2660,52
2661,31
2662,36
2663,43
2664,30
2665,73
2666,40
2667,46
2668,19
2669,2
2670,80
2671,43
2672,18
2673,80
2674,19
2675,69
2676,47
2677,59
2678,48
2679,24
2680,47
2681,50
2682,45
2683,70
2684,40
2685,25
2686,50
2687,38
2688,15
2689,35
2690,18
2691,35
2692,42
2693,67
2694,39
2695,65
2696,36
2697,19
2698,39
2699,49
2700,78
2701,30
2702,33
2703,54
2704,32
2705,80
2706,32
2707,73
2708,29
2709,21
2710,74
2711,35
2712,40
2713,41
2714,25
2715,39
2716,52
2717,43
2718,38
2719,47
2720,53
2721,30
2722,38
2723,21
2724,55
2725,40
2726,19
2727,30
2728,37
2729,75
2730,29
2731,31
2732,40
2733,80
2734,24
2735,76
2736,18
2737,26
2738,44
2739,43
2740,6
2741,39
2742,25
2743,21
2744,18
2745,75
2746,17
2747,50
2748,32
2749,27
2750,45
2751,56
2752,46
2753,16
2754,48
2755,18
2756,51
2757,43
2758,80
2759,27
2760,47
2761,39
2762,38
2763,80
2764,18
2765,31
2766,48
2767,13
2768,41
2769,3
2770,19
2771,39
2772,73
2773,50
2774,18
2775,64
2776,57
2777,28
2778,35
2779,32
2780,29
2781,37
2782,15
2783,71
2784,39
2785,17
2786,35
2787,28
2788,75
2789,18
2790,17
2791,21
2792,62
2793,40
2794,26
2795,36
2796,17
2797,52
2798,77
2799,72
2800,13
2801,18
2802,45
2803,20
2804,20
2805,35
2806,43
2807,25
2808,10
2809,78
2810,45
2811,25
2812,80
2813,20
2814,27
2815,20
2816,49
2817,38
2818,29
2819,35
2820,18
2821,76
2822,43
2823,25
2824,18
2825,51
2826,45
2827,67
2828,25
2829,71
2830,9
2831,62
2832,21
2833,50
2834,20
2835,27
2836,42
2837,35
2838,46
2839,9
2840,23
2841,30
2842,24
2843,43
2844,23
2845,41
2846,28
2847,52
2848,45
2849,19
2850,22
2851,71
2852,33
2853,53
2854,59
2855,77
2856,68
2857,32
2858,59
2859,58
2860,61
2861,31
2862,28
2863,74
2864,20
2865,45
2866,50
2867,51
2868,16
2869,19
2870,71
2871,45
2872,37
2873,23
2874,50
2875,16
2876,46
2877,80
2878,43
2879,31
2880,50
2881,48
2882,29
2883,50
2884,35
2885,39
2886,16
2887,44
2888,49
2889,56
2890,74
2891,70
2892,21
2893,46
2894,20
2895,5
2896,73
2897,77
2898,67
2899,40
2900,80
2901,32
2902,29
2903,46
2904,19
2905,48
2906,6
2907,52
2908,22
2909,46
2910,18
2911,50
2912,29
2913,45
2914,36
2915,20
2916,80
2917,45
2918,34
2919,43
2920,23
2921,20
2922,35
2923,25
2924,75
2925,61
2926,26
2927,43
2928,24
2929,45
2930,62
2931,43
2932,53
2933,45
2934,40
2935,46
2936,41
2937,38
2938,31
2939,75
2940,60
2941,33
2942,23
2943,0
2944,40
2945,45
2946,28
2947,35
2948,23
2949,34
2950,32
2951,70
2952,35
2953,49
2954,24
2955,7
2956,79
2957,21
2958,23
2959,26
2960,44
2961,36
2962,35
2963,52
2964,76
2965,79
2966,17
2967,19
2968,38
2969,35
2970,61
2971,23
2972,45
2973,45
2974,52
2975,10
2976,41
2977,35
2978,56
2979,8
2980,28
2981,24
2982,24
2983,38
2984,80
2985,56
2986,28
2987,29
2988,23
2989,19
2990,32
2991,31
2992,46
2993,16
2994,21
2995,30
2996,62
2997,57
