"","Move","Player_1_Final1","Player_1_Final2","Player_2_Final1","Player_2_Final2","Player_1_Initial1","Player_1_Initial2","Player_2_Initial1","Player_2_Initial2","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"105",10,37,11,21,5,31,3,21,30,4,5,4,4,4,0,5,4,2,2,46,24
"106",11,37,15,24,5,37,11,21,5,4,0,0,4,1,3,4,3,2,1,50,27
"107",12,41,15,24,6,37,15,24,5,4,1,0,1,0,0,4,1,1,2,54,28
"108",13,42,21,27,6,41,15,24,6,3,6,3,3,3,0,6,3,2,1,61,31
"109",14,42,24,27,7,42,21,27,6,3,0,0,4,6,1,3,1,2,2,64,32
"110",15,46,24,27,18,42,24,27,7,4,6,0,6,0,0,4,6,1,2,68,43
"111",16,46,28,27,19,46,24,27,18,4,4,1,4,1,0,4,1,2,2,72,44
"112",17,46,32,30,19,46,28,27,19,4,0,0,3,4,3,4,3,2,1,76,47
"113",18,46,36,30,19,46,32,30,19,4,3,0,3,0,0,4,0,2,0,80,47
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",1,6,1,1,9,1,1,1,1,6,2,5,6,2,0,5,6,1,2,5,8
"116",2,8,1,6,9,6,1,1,9,2,0,0,4,5,4,2,5,1,1,7,13
"117",3,12,1,10,9,8,1,6,9,4,4,0,4,0,0,4,4,1,1,11,17
"118",4,12,5,10,10,12,1,10,9,4,1,1,1,1,0,4,1,2,2,15,18
"119",5,13,5,16,12,12,5,10,10,1,0,0,6,2,2,1,6,1,1,16,26
"120",6,15,5,16,14,13,5,16,12,2,2,0,2,0,0,2,2,1,2,18,28
"121",7,20,5,16,18,15,5,16,14,3,4,5,3,4,0,5,4,1,2,23,32
"122",8,23,5,16,21,20,5,16,18,3,0,0,3,3,5,3,3,1,2,26,35
"123",9,23,10,16,24,23,5,16,21,3,5,0,3,0,0,5,3,2,2,31,38
"124",10,29,13,16,34,23,10,16,24,6,2,6,2,6,0,6,6,1,2,40,48
"125",11,31,1,16,38,29,13,16,34,2,0,0,1,1,3,2,1,1,2,30,52
"126",12,34,1,17,38,31,1,16,38,1,3,0,1,0,0,3,1,1,1,33,53
"127",13,38,1,23,43,34,1,17,38,2,6,4,2,6,0,4,6,1,1,37,64
"128",14,38,3,23,47,38,1,23,43,2,0,0,4,2,4,2,4,2,2,39,68
"129",15,40,3,27,47,38,3,23,47,2,4,0,4,0,0,2,4,1,1,41,72
"130",16,41,3,29,48,40,3,27,47,1,1,3,1,3,0,1,1,1,2,42,122
"131",17,44,3,34,48,41,3,29,48,3,0,0,5,4,2,3,5,1,1,45,127
"132",18,46,3,34,48,44,3,34,48,4,2,0,4,0,0,2,0,1,0,47,127
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",1,1,6,7,5,1,1,1,1,2,6,5,2,6,0,5,6,2,1,5,10
"135",2,1,8,18,5,1,6,7,5,2,0,0,6,6,1,2,6,2,1,7,21
"136",3,1,22,19,5,1,8,18,5,6,1,0,1,0,0,6,1,2,1,21,22
"137",4,2,22,19,9,1,22,19,5,4,1,2,4,2,0,1,4,1,2,22,26
"138",5,2,24,23,9,2,22,19,9,2,0,0,4,4,2,2,4,2,1,24,30
"139",6,2,28,25,9,2,24,23,9,4,2,0,2,0,0,4,2,2,1,28,32
"140",7,2,30,27,9,2,28,25,9,2,2,1,2,1,0,2,2,2,1,30,34
"141",8,3,31,32,1,2,30,27,9,1,0,0,6,5,5,1,5,2,1,32,31
"142",9,3,41,37,1,3,31,32,1,6,5,0,5,0,0,6,5,2,1,42,36
"143",10,3,44,41,1,3,41,37,1,1,3,4,1,4,0,3,4,2,1,45,40
"144",11,4,44,41,6,3,44,41,1,1,0,0,3,2,5,1,5,1,2,46,45
"145",12,7,44,41,8,4,44,41,6,3,2,0,2,0,0,3,2,1,2,49,47
"146",13,7,46,43,8,7,44,41,8,3,2,2,3,2,0,2,2,2,1,51,49
"147",14,10,46,43,10,7,46,43,8,3,0,0,2,2,6,3,2,1,2,54,51
"148",15,11,48,48,26,10,46,43,10,2,6,0,6,0,0,2,6,2,2,104,119
"149",16,15,48,48,29,11,48,48,26,1,4,3,1,3,0,4,3,1,2,108,122
"150",17,16,48,48,30,15,48,48,29,1,0,0,2,1,2,1,1,1,2,109,123
"151",18,18,48,48,30,16,48,48,30,2,2,0,2,0,0,2,0,1,0,111,123
"152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",1,4,1,1,3,1,1,1,1,3,2,2,2,2,0,3,2,1,2,3,2
"154",2,6,1,3,3,4,1,1,3,2,0,0,2,6,3,2,2,1,1,5,4
"155",3,12,6,6,3,6,1,3,3,6,3,0,3,0,0,6,3,1,1,16,7
"156",4,15,6,11,3,12,6,6,3,3,5,3,5,3,0,3,5,1,1,19,12
"157",5,15,9,15,3,15,6,11,3,3,0,0,4,1,4,3,4,2,1,22,16
"158",6,15,13,16,3,15,9,15,3,1,4,0,1,0,0,4,1,2,1,26,17
"159",7,15,18,17,3,15,13,16,3,1,1,5,1,1,0,5,1,2,1,31,18
"160",8,15,19,20,3,15,18,17,3,1,0,0,6,3,2,1,3,2,1,32,21
"161",9,21,24,22,3,15,19,20,3,6,2,0,2,0,0,6,2,1,1,43,23
"162",10,24,24,27,3,21,24,22,3,5,3,4,5,4,0,3,5,1,1,46,28
"163",11,24,28,31,3,24,24,27,3,4,0,0,1,2,4,4,4,2,1,50,32
"164",12,24,30,31,4,24,28,31,3,1,2,0,1,0,0,2,1,2,2,52,33
"165",13,24,33,40,4,24,30,31,4,6,3,6,6,6,0,3,6,2,1,55,42
"166",14,24,40,46,15,24,33,40,4,6,0,0,1,6,1,6,6,2,1,62,59
"167",15,24,41,47,15,24,40,46,15,1,1,0,1,0,0,1,1,2,1,63,60
"168",16,27,47,47,17,24,41,47,15,6,2,2,2,2,0,6,2,2,2,72,62
"169",17,29,47,47,22,27,47,47,17,2,0,0,2,6,5,2,5,1,2,74,67
"170",18,31,47,47,22,29,47,47,22,2,6,0,6,0,0,2,0,1,0,76,67
"171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",1,1,13,4,1,1,1,1,1,6,3,5,3,5,0,6,3,2,1,12,3
"173",2,6,13,4,5,1,13,4,1,5,0,0,5,4,4,5,4,1,2,17,7
"174",3,11,13,8,5,6,13,4,5,5,4,0,4,0,0,5,4,1,1,22,11
"175",4,16,13,8,8,11,13,8,5,5,3,3,3,3,0,5,3,1,2,27,14
"176",5,16,16,8,12,16,13,8,8,3,0,0,4,6,2,3,4,2,2,30,18
"177",6,22,25,10,12,16,16,8,12,6,2,0,2,0,0,6,2,1,1,45,20
"178",7,23,25,10,14,22,25,10,12,2,1,1,2,1,0,1,2,1,2,46,22
"179",8,23,26,10,19,23,25,10,14,1,0,0,5,6,1,1,5,2,2,47,27
"180",9,34,26,10,20,23,26,10,19,6,1,0,1,0,0,6,1,1,2,58,28
"181",10,34,29,15,20,34,26,10,20,5,3,3,5,3,0,3,5,2,1,61,33
"182",11,34,32,15,29,34,29,15,20,3,0,0,6,3,4,3,6,2,2,64,42
"183",12,34,35,15,33,34,32,15,29,3,4,0,4,0,0,3,4,2,2,67,46
"184",13,34,36,15,36,34,35,15,33,1,3,4,3,4,0,1,3,2,2,68,49
"185",14,1,36,21,48,34,36,15,36,4,0,0,6,4,3,4,6,1,2,35,114
"186",15,1,40,24,48,1,36,21,48,4,3,0,3,0,0,4,3,2,1,39,117
"187",16,1,44,28,48,1,40,24,48,4,4,1,4,1,0,4,4,2,1,43,121
