"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"39",1,1,7,6,3,1,1,1,1,1,1,1,1,6,2,1,2,1,0,6,2,2,1,11,2
"40",2,1,7,7,3,2,1,1,7,6,3,1,1,1,0,0,1,1,1,1,1,3,2,12,3
"41",3,2,7,7,4,2,1,1,7,7,3,2,1,1,1,0,1,0,0,1,1,1,1,13,4
"42",4,2,11,7,4,6,1,2,7,7,4,2,1,2,4,4,2,4,0,4,4,2,2,17,8
"43",5,4,11,7,14,6,1,2,11,7,4,6,1,2,0,0,6,5,1,2,6,1,1,19,18
"44",6,9,11,7,14,7,1,4,11,7,14,6,1,5,1,0,1,0,0,5,1,1,2,24,19
"45",7,9,11,12,16,7,1,9,11,7,14,7,1,2,1,5,2,1,0,5,2,3,1,29,21
"46",8,9,11,13,16,7,6,9,11,12,16,7,1,1,0,0,5,5,2,1,5,3,3,30,26
"47",9,14,11,13,18,7,6,9,11,13,16,7,6,5,2,0,2,0,0,5,2,1,1,35,28
"48",10,14,17,15,18,11,6,14,11,13,18,7,6,2,4,6,2,4,0,6,4,2,2,43,32
"49",11,14,17,17,18,11,11,14,17,15,18,11,6,2,0,0,2,5,4,2,5,3,3,45,37
"50",12,14,21,17,18,13,11,14,17,17,18,11,11,2,4,0,2,0,0,4,2,2,2,49,39
"51",13,14,26,17,18,15,11,14,21,17,18,13,11,5,2,2,2,2,0,5,2,2,2,54,41
"52",14,16,26,17,18,19,11,14,26,17,18,15,11,2,0,0,2,4,4,2,4,1,2,56,45
"53",15,16,26,21,18,19,13,16,26,17,18,19,11,2,4,0,2,0,0,4,2,3,3,60,47
"54",16,17,26,27,18,24,19,16,26,21,18,19,13,3,6,6,3,6,0,6,6,3,3,67,58
"55",17,20,26,27,19,24,19,17,26,27,18,24,19,3,0,0,5,4,1,3,1,1,1,70,59
"56",18,24,26,27,19,29,19,20,26,27,19,24,19,5,4,0,5,0,0,4,5,1,2,74,64
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1,1,11,1,5,1,1,1,1,1,1,1,1,6,4,1,4,1,0,6,4,2,1,10,4
"59",2,1,11,2,5,9,1,1,11,1,5,1,1,1,0,0,5,6,6,1,6,3,2,11,12
"60",3,7,12,2,10,9,1,1,11,2,5,9,1,5,6,0,5,0,0,6,5,1,1,18,17
"61",4,7,12,6,10,12,1,7,12,2,10,9,1,3,4,3,3,3,0,4,3,3,2,22,20
"62",5,7,15,6,11,12,7,7,12,6,10,12,1,3,0,0,6,1,4,3,6,2,3,25,27
"63",6,7,19,6,11,13,7,7,15,6,11,12,7,1,4,0,1,0,0,4,1,2,2,29,28
"64",7,10,19,6,16,13,7,7,19,6,11,13,7,3,1,5,1,5,0,3,5,1,1,32,33
"65",8,10,20,6,19,13,7,10,19,6,16,13,7,1,0,0,3,2,2,1,3,2,1,33,36
"66",9,10,22,6,19,13,9,10,20,6,19,13,7,2,2,0,2,0,0,2,2,2,3,35,38
"67",10,10,25,6,19,17,9,10,22,6,19,13,9,2,4,3,2,4,0,3,4,2,2,38,42
"68",11,10,39,11,19,19,1,10,25,6,19,17,9,2,0,0,4,1,2,2,2,2,2,95,36
"69",12,11,39,11,23,19,1,10,39,11,19,19,1,4,1,0,4,0,0,1,4,1,1,96,40
"70",13,13,39,11,26,19,1,11,39,11,23,19,1,2,2,1,2,1,0,2,1,1,1,98,43
"71",14,13,39,13,39,19,4,13,39,11,26,19,1,2,0,0,4,3,6,2,3,3,1,100,97
"72",15,19,39,17,39,19,8,13,39,13,39,19,4,4,6,0,4,0,0,6,4,1,3,110,101
"73",16,19,39,20,39,19,12,19,39,17,39,19,8,4,2,3,4,2,0,3,4,3,3,113,105
"74",17,21,39,20,39,19,17,19,39,20,39,19,12,2,0,0,5,3,3,2,5,1,3,115,110
"75",18,21,39,23,39,22,17,21,39,20,39,19,17,3,3,0,3,0,0,3,3,3,2,118,113
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",1,1,4,7,3,1,1,1,1,1,1,1,1,2,2,6,2,2,0,6,2,3,1,9,2
"78",2,1,4,9,3,9,1,1,4,7,3,1,1,2,0,0,5,6,6,2,6,3,2,11,10
"79",3,3,4,15,3,9,6,1,4,9,3,9,1,5,6,0,5,0,0,6,5,3,3,19,15
"80",4,6,4,15,3,14,6,3,4,15,3,9,6,5,2,3,5,2,0,3,5,1,2,22,20
"81",5,8,4,15,3,19,6,6,4,15,3,14,6,2,0,0,3,3,5,2,5,1,2,24,25
"82",6,8,4,18,3,19,9,8,4,15,3,19,6,3,3,0,3,0,0,3,3,3,3,27,28
"83",7,8,4,19,7,19,9,8,4,18,3,19,9,2,1,4,2,4,0,1,4,3,1,28,32
"84",8,8,4,21,7,19,14,8,4,19,7,19,9,2,0,0,5,3,5,2,5,3,3,30,37
"85",9,13,4,21,10,19,14,8,4,21,7,19,14,3,5,0,3,0,0,5,3,1,1,35,40
"86",10,15,4,27,10,19,16,13,4,21,10,19,14,6,6,2,6,2,0,6,2,3,3,43,42
"87",11,17,4,1,20,19,16,15,4,27,10,19,16,6,0,0,5,1,1,6,5,3,1,19,52
"88",12,18,4,2,2,19,16,17,4,1,20,19,16,1,1,0,1,0,0,1,1,3,1,21,34
"89",13,21,4,2,13,19,16,18,4,2,2,19,16,2,3,6,2,6,0,3,6,1,1,24,45
"90",14,21,4,4,19,23,16,21,4,2,13,19,16,2,0,0,4,5,6,2,6,3,1,26,55
"91",15,25,4,4,24,23,16,21,4,4,19,23,16,4,5,0,5,0,0,4,5,1,1,30,60
"92",16,30,4,4,24,23,19,25,4,4,24,23,16,5,2,3,2,3,0,5,3,1,3,35,63
"93",17,30,4,1,6,27,19,30,4,4,24,23,19,2,0,0,4,4,4,2,4,3,2,32,49
"94",18,34,4,1,10,27,19,30,4,1,6,27,19,4,4,0,4,0,0,4,4,1,1,36,53
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",1,4,1,1,6,1,1,1,1,1,1,1,1,5,3,2,5,2,0,3,5,1,1,3,5
"97",2,6,1,1,6,12,1,4,1,1,6,1,1,2,0,0,6,2,4,2,6,1,2,5,16
"98",3,6,1,5,8,12,1,6,1,1,6,12,1,2,4,0,2,0,0,4,2,3,1,9,18
"99",4,6,5,5,13,18,1,6,1,5,8,12,1,5,6,4,5,6,0,4,6,2,2,13,29
"100",5,6,10,5,18,18,1,6,5,5,13,18,1,5,0,0,4,5,3,5,5,2,1,18,34
"101",6,6,14,5,18,18,4,6,10,5,18,18,1,4,3,0,3,0,0,4,3,2,3,22,37
"102",7,6,18,5,18,18,8,6,14,5,18,18,4,2,4,4,2,4,0,4,4,2,3,26,41
"103",8,6,20,5,18,18,13,6,18,5,18,18,8,2,0,0,5,4,2,2,5,2,3,28,46
"104",9,6,24,5,18,18,15,6,20,5,18,18,13,4,2,0,2,0,0,4,2,2,3,32,48
"105",10,6,29,5,18,18,19,6,24,5,18,18,15,4,5,5,4,5,0,5,4,2,3,37,52
"106",11,6,34,5,20,18,19,6,29,5,18,18,19,5,0,0,2,2,2,5,2,2,1,42,54
"107",12,6,36,5,22,18,19,6,34,5,20,18,19,2,2,0,2,0,0,2,2,2,1,44,56
"108",13,6,36,9,32,18,19,6,36,5,22,18,19,4,6,4,6,4,0,4,4,3,1,48,66
"109",14,15,39,9,1,19,19,6,36,9,32,18,19,6,0,0,1,2,6,6,1,1,2,98,36
"110",15,25,39,9,1,21,19,15,39,9,1,19,19,2,6,0,2,0,0,6,2,1,2,108,38
"111",16,29,39,15,1,37,19,25,39,9,1,21,19,6,6,6,6,6,0,6,6,3,2,118,54
"112",17,33,39,21,5,39,19,29,39,15,1,37,19,6,0,0,2,5,5,6,2,3,2,128,98
"113",18,33,39,26,10,39,19,33,39,21,5,39,19,5,5,0,5,0,0,5,5,3,1,133,103
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",1,2,1,1,4,1,1,1,1,1,1,1,1,1,3,3,3,3,0,1,3,1,1,1,3
"116",2,5,1,1,4,6,1,2,1,1,4,1,1,3,0,0,5,5,5,3,5,1,2,4,8
"117",3,5,6,1,9,6,1,5,1,1,4,6,1,5,5,0,5,0,0,5,5,2,1,9,13
"118",4,5,9,1,9,10,1,5,6,1,9,6,1,3,3,4,3,4,0,3,4,2,2,12,17
"119",5,5,12,1,14,10,1,5,9,1,9,10,1,3,0,0,5,4,3,3,5,2,1,15,22
"120",6,9,12,1,14,13,1,5,12,1,14,10,1,4,3,0,3,0,0,4,3,1,2,19,25
"121",7,14,12,1,14,13,5,9,12,1,14,13,1,4,5,1,4,1,0,5,4,1,3,24,29
"122",8,14,13,1,14,17,5,14,12,1,14,13,5,1,0,0,4,1,1,1,4,2,2,25,33
"123",9,14,14,1,15,17,5,14,13,1,14,17,5,1,1,0,1,0,0,1,1,2,1,26,34
"124",10,20,18,1,15,19,5,14,14,1,15,17,5,6,1,2,1,2,0,6,2,1,2,36,36
"125",11,20,19,1,15,19,10,20,18,1,15,19,5,1,0,0,2,5,2,1,5,2,3,37,41
"126",12,20,21,1,17,19,10,20,19,1,15,19,10,2,2,0,2,0,0,2,2,2,1,39,43
"127",13,25,21,1,17,19,13,20,21,1,17,19,10,3,5,3,3,3,0,5,3,1,3,44,46
"128",14,28,21,1,19,19,13,25,21,1,17,19,13,3,0,0,1,5,2,3,2,1,1,47,48
"129",15,33,21,1,19,19,14,28,21,1,19,19,13,1,5,0,1,0,0,5,1,1,3,52,49
"130",16,38,21,1,27,19,14,33,21,1,19,19,14,4,4,5,4,4,0,5,4,1,1,57,57
"131",17,38,21,5,37,19,14,38,21,1,27,19,14,4,0,0,4,4,6,4,4,3,1,61,67
"132",18,38,25,5,37,25,17,38,21,5,37,19,14,4,6,0,6,0,0,4,6,2,2,65,76
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",1,1,5,1,5,1,1,1,1,1,1,1,1,1,4,4,1,4,0,4,4,2,1,4,4
"135",2,1,6,1,5,11,1,1,5,1,5,1,1,1,0,0,6,1,6,1,6,2,2,5,14
"136",3,10,6,1,6,11,1,1,6,1,5,11,1,1,6,0,1,0,0,6,1,1,1,14,15
"137",4,16,7,1,6,11,5,10,6,1,6,11,1,4,1,6,4,1,0,6,4,1,3,21,19
"138",5,16,7,2,17,11,5,16,7,1,6,11,5,1,0,0,1,6,3,1,6,3,1,22,30
"139",6,19,7,2,17,12,5,16,7,2,17,11,5,1,3,0,1,0,0,3,1,1,2,25,31
