,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
83,7,46,-20,-33,-45,-25,-14,0,-60,-60,-60,-60,60,60,-38,-38,-47,-38,51,60,-38,-60,-38,10,52,48,5,-10,-3,-43,60,60,5,-29,-29,-43
84,-36,33,-23,-59,-40,-49,-12,0,-60,-60,-60,-60,60,60,-47,-47,-14,-47,18,60,-47,48,-47,-22,60,60,-15,-12,-3,-29,60,60,-23,-3,-3,-29
85,-17,0,-23,-60,-20,-56,-60,0,-37,-60,-60,-60,40,60,-10,-10,-15,-14,58,60,-13,7,-13,-11,60,60,-12,-60,-10,56,60,60,11,-19,7,34
86,31,51,-50,-28,-27,-48,-50,0,-60,-60,-60,-60,49,60,-5,6,-10,-15,46,60,-19,-3,-22,25,36,60,-3,32,-12,-3,60,60,-18,-16,-16,-8
87,23,12,-60,-60,-60,-49,0,0,-60,-60,-60,-60,34,60,-14,-10,-4,-10,19,60,3,28,-11,-60,60,60,3,-6,-60,-10,60,60,-10,-2,-16,-16
88,21,40,-60,-26,-60,-35,-14,0,-60,-60,-60,-60,58,60,-2,-18,-60,25,42,60,10,-48,2,22,60,60,15,24,27,-12,58,60,13,-60,-60,25
89,-35,36,-23,-52,-40,-22,-15,0,-60,-60,-60,-60,32,36,-60,-60,18,-60,24,60,-60,52,-60,34,22,60,-60,52,2,-60,60,60,-60,48,22,-60
90,38,34,-29,-49,-60,-13,-38,23,-60,-37,-60,-60,59,60,10,48,14,22,60,60,10,15,22,-17,32,60,2,18,10,22,60,60,12,-6,2,22
91,13,0,-38,-41,-30,-36,-37,0,-60,-60,-60,-60,46,60,12,17,24,14,-15,60,7,-60,34,30,60,60,-6,52,53,2,10,60,-6,24,-30,2
92,18,44,-47,-27,-60,-46,-2,0,-47,-60,-60,-60,46,60,16,-3,20,24,42,17,-17,9,-17,-28,36,52,33,7,-26,24,30,60,33,22,20,-30
93,-35,11,-28,-60,-52,-45,-42,0,-60,-60,-60,-60,60,60,17,51,-14,26,49,60,37,-20,53,60,17,31,39,-5,25,53,41,60,13,-54,-34,24
94,-8,19,-30,-47,-60,-42,-14,0,-60,-60,-60,-60,44,60,-33,-12,54,-18,35,48,-47,49,-48,20,60,60,-51,-23,11,-34,53,60,-51,52,51,-39
95,0,60,-44,-35,-34,-52,-35,0,-60,-60,-60,-60,60,60,49,54,-7,25,53,60,52,46,54,-60,58,60,52,6,-60,60,19,60,50,7,11,50
96,26,25,-28,-60,-43,-53,-30,0,-60,-60,-60,-60,24,60,-2,15,-60,-13,55,60,-2,-16,20,-10,47,60,12,49,-23,11,60,60,12,-24,-21,11
97,44,14,-50,-54,-9,-35,-2,0,-60,-47,-60,-60,60,60,-60,-60,10,-60,35,60,-22,17,-60,-21,60,60,-5,46,-19,-60,60,60,-24,9,4,5
98,55,33,-48,-55,-60,-60,-40,0,-60,-60,-60,-60,39,59,7,-2,-15,12,22,60,-23,60,4,52,40,60,2,-15,55,-23,60,60,2,-22,24,-9
99,-1,29,-26,-33,-25,-21,-37,0,-60,-60,-60,-60,39,60,-14,-14,-3,-15,40,60,14,-18,-21,-22,60,60,-10,17,35,-19,60,60,10,49,55,24
100,20,39,-29,-35,-52,-44,-14,0,-60,-60,-60,-60,60,60,3,-3,-21,12,18,60,48,-26,55,-16,39,60,48,15,-15,52,24,60,48,46,35,52
101,-6,20,-60,-26,-39,-60,-34,0,-60,-60,-60,-60,7,60,9,-25,-6,-21,60,60,14,57,-18,17,41,60,-4,-23,17,38,8,60,-18,-15,-15,38
102,-11,46,-60,-59,-60,-23,0,0,-60,-60,-60,-60,26,60,-6,-8,17,-8,50,60,-16,-17,-16,-20,13,60,-15,-27,-38,-15,60,17,-15,17,17,-15
103,18,0,-50,-8,-58,-60,-21,0,-60,-60,-60,-30,60,60,17,17,-2,17,8,52,17,-60,17,-4,2,60,17,60,-23,17,31,60,17,15,-25,17
104,9,17,-21,-60,-27,-60,-38,0,-60,-60,-60,-60,24,60,-4,60,-3,60,27,37,26,11,60,-26,41,60,12,-41,-27,27,53,48,12,-23,-23,27
105,9,34,-50,-19,-27,-56,-34,0,-60,-60,-60,-60,45,60,-11,-15,-9,-3,60,60,2,-60,-4,60,45,60,-23,-60,60,-23,37,60,-23,-46,-46,-23
