,mscore
265,25
266,33
267,50
268,31
269,20
270,32
271,18
272,33
273,42
274,8
275,64
276,68
277,53
278,15
279,54
280,24
281,40
282,15
283,43
284,27
285,30
286,43
287,39
288,66
289,53
290,16
291,29
292,46
293,36
294,26
295,22
296,30
297,18
298,52
299,41
300,46
301,66
302,22
303,70
304,30
305,26
306,40
307,65
308,47
309,69
310,57
311,29
312,72
313,60
314,32
315,43
316,38
317,53
318,44
319,37
320,57
321,68
322,33
323,33
324,65
325,50
326,40
327,44
328,65
329,34
330,20
331,48
332,37
333,39
334,53
335,53
336,48
337,72
338,51
339,18
340,27
341,29
342,52
343,14
344,45
345,40
346,20
347,68
348,50
349,32
350,57
351,27
352,60
353,38
354,56
355,64
356,61
357,52
358,46
359,76
360,25
361,30
362,21
363,25
364,50
365,53
366,59
367,80
368,20
369,21
370,34
371,80
372,45
373,24
374,41
375,24
376,16
377,20
378,75
379,79
380,68
381,80
382,35
383,61
384,10
385,32
386,35
387,72
388,26
389,53
390,25
391,49
392,19
393,49
394,19
395,28
396,18
397,28
398,30
399,54
400,59
401,9
402,51
403,26
404,80
405,20
406,24
407,74
408,9
409,24
410,7
411,10
412,22
413,50
414,58
415,31
416,19
417,16
418,49
419,37
420,23
421,56
422,13
423,34
424,48
425,68
426,28
427,36
428,22
429,30
430,69
431,51
432,32
433,46
434,68
435,72
436,48
437,5
438,46
439,8
440,71
441,39
442,60
443,9
444,75
445,45
446,56
447,37
448,19
449,51
450,20
451,22
452,38
453,56
454,10
455,35
456,24
457,72
458,25
459,80
460,25
461,33
462,31
463,33
464,36
465,45
466,35
467,24
468,80
469,69
470,21
471,30
472,50
473,46
474,48
475,38
476,39
477,42
478,21
479,32
480,48
481,23
482,39
483,49
484,80
485,77
486,32
487,35
488,17
489,10
490,49
491,50
492,23
493,20
494,31
495,57
496,10
497,31
498,10
499,38
500,26
501,14
502,30
503,48
504,46
505,48
506,80
507,25
508,19
509,73
510,3
511,48
512,18
513,64
514,12
515,25
516,44
517,31
518,38
519,80
520,74
521,42
522,33
523,61
524,48
525,26
526,35
527,53
528,56
529,57
530,49
531,64
532,27
533,28
534,30
535,78
536,36
537,14
538,26
539,42
540,22
541,18
542,15
543,19
544,42
545,29
546,42
547,70
548,57
549,42
550,55
551,37
552,32
553,13
554,10
555,71
556,31
557,32
558,45
559,80
560,20
561,71
562,51
563,60
564,12
565,25
566,15
567,41
568,41
569,33
570,35
571,60
572,75
573,43
574,33
575,45
576,14
577,39
578,37
579,19
580,47
581,19
582,10
583,8
584,62
585,37
586,10
587,41
588,37
589,31
590,27
591,48
592,22
593,19
594,21
595,43
596,38
597,23
598,45
599,65
600,49
601,21
602,80
603,37
604,51
605,14
