"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"22",3,11,2,1,4,2,4,6,2,1,4,1,4,5,1,0,1,0,0,5,1,1,2,11,7
"23",4,11,10,1,4,7,10,11,2,1,4,2,4,6,4,6,4,6,0,6,6,2,3,19,18
"24",5,15,10,1,4,13,12,11,10,1,4,7,10,4,0,0,6,5,5,4,6,1,2,23,26
"25",6,15,15,1,4,18,12,15,10,1,4,13,12,5,5,0,5,0,0,5,5,2,2,28,31
"26",7,22,15,1,7,18,12,15,15,1,4,18,12,6,3,1,3,1,0,6,3,1,1,35,34
"27",8,22,16,1,7,18,17,22,15,1,7,18,12,1,0,0,5,5,5,1,5,2,3,36,39
"28",9,27,16,1,7,18,22,22,16,1,7,18,17,5,5,0,5,0,0,5,5,1,3,41,44
"29",10,27,16,6,7,18,24,27,16,1,7,18,22,5,1,2,1,2,0,5,2,3,3,46,46
"30",11,27,16,7,11,18,24,27,16,6,7,18,24,1,0,0,3,4,4,1,4,3,1,47,50
"31",12,27,20,7,11,18,27,27,16,7,11,18,24,3,4,0,3,0,0,4,3,2,3,51,53
"32",13,27,20,12,11,18,29,27,20,7,11,18,27,2,2,5,2,2,0,5,2,3,3,56,55
"33",14,27,22,12,16,24,29,27,20,12,11,18,29,2,0,0,6,2,6,2,6,2,2,58,66
"34",15,27,22,20,18,24,29,27,22,12,16,24,29,2,6,0,2,0,0,6,2,3,1,66,68
"35",16,27,25,26,21,24,29,27,22,20,18,24,29,6,3,1,3,1,0,6,3,3,1,75,71
"36",17,27,25,27,26,24,29,27,25,26,21,24,29,1,0,0,4,5,5,1,5,3,1,76,76
"37",18,27,30,27,26,28,29,27,25,27,26,24,29,4,5,0,4,0,0,5,4,2,2,81,80
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,9,1,1,3,1,1,1,1,1,1,1,1,6,2,1,2,1,0,6,2,1,1,8,2
"40",2,9,2,1,3,6,1,9,1,1,3,1,1,1,0,0,5,1,4,1,5,2,2,9,7
"41",3,13,2,1,3,7,1,9,2,1,3,6,1,1,4,0,1,0,0,4,1,1,2,13,8
"42",4,13,5,1,3,10,1,13,2,1,3,7,1,3,2,3,2,3,0,3,3,2,2,16,11
"43",5,15,5,1,8,10,1,13,5,1,3,10,1,2,0,0,5,5,5,2,5,1,1,18,16
"44",6,15,10,1,8,15,1,15,5,1,8,10,1,5,5,0,5,0,0,5,5,2,2,23,21
"45",7,19,10,1,11,15,1,15,10,1,8,15,1,4,3,2,3,2,0,4,3,1,1,27,24
"46",8,19,12,1,16,15,1,19,10,1,11,15,1,2,0,0,5,2,5,2,5,2,1,29,29
"47",9,24,12,1,16,15,3,19,12,1,16,15,1,2,5,0,2,0,0,5,2,1,3,34,31
"48",10,24,16,1,18,15,3,24,12,1,16,15,3,2,4,2,2,2,0,4,2,2,1,38,33
"49",11,26,16,1,22,15,3,24,16,1,18,15,3,2,0,0,3,4,6,2,4,1,1,40,37
"50",12,26,18,7,22,18,3,26,16,1,22,15,3,3,6,0,3,0,0,6,3,3,2,48,40
"51",13,27,18,7,22,23,3,26,18,7,22,18,3,3,5,1,3,5,0,1,5,1,2,49,45
"52",14,27,21,7,26,23,3,27,18,7,22,23,3,3,0,0,2,3,4,3,4,2,1,52,49
"53",15,27,21,10,26,23,5,27,21,7,26,23,3,2,3,0,2,0,0,3,2,3,3,55,51
"54",16,27,26,10,30,23,5,27,21,10,26,23,5,4,5,1,4,1,0,5,4,2,1,60,55
"55",17,27,27,1,43,23,5,27,26,10,30,23,5,1,0,0,1,3,6,1,6,2,1,52,68
