init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
3 28 19 13 47 22 44 35 40 51,0 25 9 20 2 41 23 10 4 6,34,15,0,1,9,22 35 8 43 45 52 13 40 28 6,0 25 9 2 23 10 24 12 47 21,1,2,0
26 30 35 42 46 17 39 0 49 12,28 20 11 23 5 16 51 21 22 18,19,4,0,1,4,26 39 0 30 17 43 32 42 3 28,20 11 23 5 21 22 18 12 52 10,2,0,1
35 6 21 9 25 1 15 52 47 24,14 17 40 51 44 31 23 26 13 41,49,5,0,1,10,9 52 8 11 17 52 15 18 0 1,14 40 51 23 13 41 25 28 30 29,2,1,0
5 37 13 28 1 24 52 6 20 16,40 44 4 48 12 30 47 17 15 38,31,9,0,1,6,5 6 32 37 24 11 52 13 40 28,44 4 48 30 47 17 15 49 14 16,2,0,1
25 34 35 18 39 26 33 49 14 11,45 10 30 52 27 38 19 3 40 20,31,26,0,1,9,34 35 33 39 26 14 2 28 42 17,45 10 52 27 38 19 11 18 12 6,1,1,1
10 7 5 13 28 3 14 16 17 12,49 26 52 2 21 34 45 50 30 37,42,0,6,0,4,3 10 12 16 28 26 7 5 6 52,49 52 21 34 50 30 17 48 47 32,1,2,0
52 8 40 35 12 36 2 42 21 14,18 44 19 43 49 15 41 1 34 33,10,15,0,1,2,52 8 21 36 35 23 40 14 2 42,18 44 19 43 49 41 34 33 52 20,1,2,0
37 35 5 34 2 7 22 45 19 43,29 4 36 24 40 32 15 39 31 13,44,0,16,0,5,5 7 8 37 35 34 36 2 4 3,29 40 32 15 39 31 13 52 51 48,2,1,0
34 23 3 52 33 32 13 51 46 27,31 17 8 36 14 42 50 37 18 41,44,38,0,1,6,33 52 32 35 27 3 4 17 45 11,31 8 36 42 37 18 41 39 34 38,1,1,1
28 32 50 26 40 14 22 19 38,7 37 52 47 49 9 20 5 43 21,34,60,0,1,3,28 32 26 40 14 22 19 38 20 20,7 37 52 47 49 5 21 36 4 50,0,3,0
45 15 37 52 51 27 8 29 36 33,38 4 42 14 5 20 9 24 23 10,34,0,28,0,6,52 37 36 38 27 26 28 8 33 32,4 42 14 5 9 24 23 10 3 25,1,2,0
20 24 47 32 42 36 11 41 22 23,31 40 12 8 30 52 17 27 49 43,15,49,0,1,6,24 22 23 42 3 31 18 32 45 20,40 12 30 52 17 27 43 11 41 28,0,1,2
48 16 32 10 19 7 47 43 22,13 29 28 11 35 0 40 14 25 31,15,53,0,1,6,48 22 35 16 43 5 32 19 7 10,13 29 28 11 14 25 31 50 24 52,1,1,1
50 51 4 32 6 5 48 52 29 45,27 36 15 42 34 43 17 2 8 44,26,14,0,1,4,50 51 48 52 32 6 45 27 29 4,36 15 42 34 43 17 44 16 35 41,3,0,0
11 47 20 41 28 38 10 50 16 21,19 52 18 51 14 37 6 39 25 8,4,0,10,0,6,52 41 28 10 8 9 11 50 37 24,19 52 18 51 14 39 25 21 20 29,1,0,2
