init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
10 24 47 52 1 20 40 34 39 19,44 46 6 43 14 30 21 22 35 7,49,0,42,0,3,10 47 52 1 20 40 34 19 21 18,22 35 48 14 15 43 30 44 6 32,1,0,2
16 23 8 21 44 37 18 15 26 25,45 22 9 33 12 42 32 7 30 20,1,18,0,1,11,16 23 8 21 18 15 52 6 7 39,33 14 20 22 9 48 32 45 19 52,0,0,3
17 52 48 45 27 14 12 50 43 26,18 38 8 24 21 22 9 2 42 44,41,0,5,0,9,17 52 48 45 27 14 43 47 46 4,24 21 22 2 42 29 16 15 26 1,1,0,2
7 2 29 27 21 50 15 43 24 22,38 47 9 17 33 30 41 42 39 10,8,0,15,0,5,2 29 27 21 50 15 24 52 28 41,17 30 4 47 9 10 7 39 42 45,0,1,2
6 18 19 2 38 51 41 42 50 40,48 26 21 44 8 46 47 33 29 22,31,10,0,1,3,6 18 19 38 51 41 42 50 40 32,21 8 47 48 22 35 46 33 20 44,0,0,3
3 45 11 4 2 16 32 44 24 49,18 39 12 27 40 36 33 46 37 10,7,0,13,0,4,3 45 11 4 2 44 24 47 33 37,36 10 49 46 32 30 39 27 40 16,1,1,1
50 1 14 30 23 43 13 44 41 12,40 24 33 34 3 29 49 6 37 0,45,0,19,0,2,1 14 43 13 44 41 12 19 52 32,24 6 37 29 30 28 0 40 3 33,0,3,0
39 3 33 7 20 26 28 52 50 37,24 49 8 11 45 32 27 40 22 43,14,0,16,0,4,39 33 7 20 26 52 50 37 1 46,24 11 27 49 40 48 51 15 43 4,0,0,3
46 39 3 32 34 23 7 17 11 14,6 5 1 40 37 41 19 25 42 10,16,0,10,0,11,46 3 32 34 7 14 27 20 40 31,37 11 24 50 42 1 12 26 39 17,0,1,2
52 8 35 24 10 34 52 37 17 16,23 39 5 50 48 44 0 43 2 25,46,0,60,0,0,52 8 35 10 34 52 37 17 16 33,23 39 5 50 48 44 0 43 2 25,0,3,0
6 35 39 13 19 0 43 40 28 14,49 20 21 42 29 26 1 11 50 34,24,22,0,1,4,6 39 13 19 0 40 14 4 27 1,20 21 11 50 42 29 34 35 33 52,1,1,1
52 8 16 21 44 46 0 19 27 50,45 4 28 13 11 2 9 34 12,26,0,29,0,8,52 8 16 21 44 46 0 19 34 45,13 11 9 12 40 14 28 4 43 31,1,1,1
27 2 19 11 45 32 50 1 40 29,38 31 35 52 8 17 33 5 37 30,20,5,0,1,1,27 19 11 45 32 50 1 40 29 52,31 52 5 38 35 33 37 17 30 43,0,1,2
10 39 32 44 40 18 24 21 25 6,31 9 35 12 50 20 27 36 33 43,28,0,23,0,10,39 44 40 18 21 2 42 43 20 15,9 10 8 31 32 35 52 27 3 22,1,2,0
47 28 52 21 11 30 1 37 29 32,5 42 52 13 16 6 4 20 12 36,25,3,0,1,11,47 28 52 21 11 30 37 29 38 40,52 13 14 43 45 44 6 4 12 7,1,2,0
2 25 41 7 1 21 20 28 6 12,11 26 36 35 29 52 52 33 18 47,40,0,40,0,2,2 25 41 7 1 20 28 12 27 52,36 35 52 33 26 29 4 18 11 48,0,0,3
28 5 24 42 13 4 30 40 25 36,34 26 49 8 2 12 29 52 50 43,1,0,42,0,3,5 24 4 30 40 25 14 22 17 44,34 52 26 2 29 42 43 49 12 36,0,1,2
35 41 51 49 21 1 10 17 6 31,12 50 15 19 40 34 33 26 30 14,47,0,10,0,8,51 49 21 1 31 3 18 2 44 5,34 30 28 12 52 11 0 26 14 40,1,1,1
3 17 13 5 6 16 26 20 33 4,50 32 35 19 24 37 40 41 10,18,0,53,0,3,3 17 5 6 16 20 33 4 46 52,50 32 35 19 24 37 40 41 10 12,0,2,1
28 18 52 30 3 44 47 46 1 45,22 48 8 19 13 43 23 21 26 5,25,0,60,0,3,28 52 30 3 44 47 46 1 45 2,22 23 13 26 43 5 19 48 34 7,2,1,0
36 10 8 13 6 3 25 29 14 34,2 46 33 31 22 1 17 51 40,0,0,37,0,5,36 10 8 13 6 3 34 47 5 26,51 25 39 1 40 2 42 17 31 46,0,1,2
32 10 5 21 44 49 12 28 26 8,50 52 15 52 51 0 42 34 19 29,38,5,0,1,4,5 21 44 12 28 26 8 27 34 3,52 0 39 42 29 16 50 52 49 51,0,1,2
31 49 23 45 7 42 5 34 8 41,18 1 37 44 14 28 12 27 52 15,40,31,0,1,3,49 23 7 42 5 8 41 10 43 29,1 14 12 18 44 31 27 45 32 52,0,1,2
43 4 37 41 5 52 49 51 44 35,36 42 29 15 11 14 28 45 7 22,6,3,0,1,9,43 4 5 52 49 51 44 52 1 18,45 7 9 42 29 16 15 28 2 41,0,1,2
38 28 41 34 2 4 27 13 11 17,14 12 29 23 24 45 52 35 22 0,16,22,0,1,9,38 28 41 2 4 27 17 18 30 39,29 12 0 24 11 50 14 13 25 52,1,1,1
26 0 44 31 36 25 30 27 28 52,8 22 38 15 34 41 51 47 19 40,18,0,42,0,2,26 0 44 31 36 30 27 28 52 38,8 34 47 40 15 41 29 19 45 22,0,2,1
