"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"32",13,48,5,1,1,4,9,1,7,43,1,1,1,2,9,1,7,5,2,4,2,4,0,5,2,1,1,98,17
"33",14,48,9,1,1,8,9,1,7,48,5,1,1,4,9,1,7,4,0,0,4,3,3,4,4,2,1,102,21
"34",15,48,12,1,1,11,9,1,7,48,9,1,1,8,9,1,7,3,3,0,3,0,0,3,3,2,1,105,24
"35",16,48,16,1,1,13,9,1,7,48,12,1,1,11,9,1,7,4,2,2,2,2,0,4,2,2,1,109,26
"36",17,48,18,1,1,18,9,1,7,48,16,1,1,13,9,1,7,2,0,0,5,5,5,2,5,2,1,111,31
"37",18,48,23,1,1,18,14,1,7,48,18,1,1,18,9,1,7,5,5,0,5,0,0,5,5,2,2,116,36
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,8,1,1,1,1,2,7,1,1,1,1,1,1,1,1,1,6,6,1,6,1,0,6,6,1,3,7,7
"40",2,9,1,1,1,7,7,7,1,8,1,1,1,1,2,7,1,1,0,0,6,5,5,1,6,1,1,8,18
"41",3,14,1,1,1,7,7,12,1,9,1,1,1,7,7,7,1,5,5,0,5,0,0,5,5,1,3,13,23
"42",4,17,1,1,1,7,7,12,4,14,1,1,1,7,7,12,1,3,3,2,3,2,0,3,3,1,4,16,26
"43",5,19,1,1,1,7,7,12,9,17,1,1,1,7,7,12,4,2,0,0,3,1,5,2,5,1,4,18,31
"44",6,22,1,1,1,7,8,12,9,19,1,1,1,7,7,12,9,3,1,0,1,0,0,3,1,1,2,21,32
"45",7,25,1,1,1,9,8,12,9,22,1,1,1,7,8,12,9,2,2,3,2,2,0,3,2,1,1,24,34
"46",8,27,1,1,1,9,8,12,12,25,1,1,1,9,8,12,9,2,0,0,3,3,6,2,3,1,4,26,37
"47",9,32,1,1,1,9,12,12,12,27,1,1,1,9,8,12,12,3,6,0,6,0,0,3,6,1,2,31,41
"48",10,37,1,1,1,9,16,12,12,32,1,1,1,9,12,12,12,4,1,5,4,1,0,5,4,1,2,36,45
"49",11,41,1,1,1,9,1,17,12,37,1,1,1,9,16,12,12,1,0,0,1,5,1,1,5,1,3,40,35
"50",12,42,1,1,1,9,2,17,12,41,1,1,1,9,1,17,12,1,1,0,1,0,0,1,1,1,2,41,36
"51",13,46,1,1,1,9,7,17,12,42,1,1,1,9,2,17,12,4,2,5,2,5,0,4,5,1,2,45,41
"52",14,48,3,1,1,11,7,17,12,46,1,1,1,9,7,17,12,2,0,0,2,2,3,2,2,1,1,96,43
"53",15,48,6,1,1,13,7,17,12,48,3,1,1,11,7,17,12,2,3,0,2,0,0,3,2,2,1,99,45
"54",16,48,8,1,1,14,7,17,12,48,6,1,1,13,7,17,12,2,1,1,1,1,0,2,1,2,1,101,46
"55",17,48,9,1,1,16,7,17,12,48,8,1,1,14,7,17,12,1,0,0,2,3,2,1,2,2,1,102,48
"56",18,48,12,1,1,16,7,17,14,48,9,1,1,16,7,17,12,3,2,0,2,0,0,3,2,2,4,105,50
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,5,5,5,5,0,5,5,1,3,5,5
"59",2,11,1,1,1,6,1,6,1,6,1,1,1,1,1,6,1,5,0,0,5,2,2,5,5,1,1,10,10
"60",3,13,1,1,1,6,3,6,1,11,1,1,1,6,1,6,1,2,2,0,2,0,0,2,2,1,2,12,12
"61",4,22,1,1,1,6,8,6,1,13,1,1,1,6,3,6,1,4,6,5,4,5,0,6,5,1,2,21,17
"62",5,1,1,1,1,12,8,10,4,22,1,1,1,6,8,6,1,4,0,0,6,6,4,4,6,1,1,0,30
"63",6,11,1,1,1,12,12,10,4,1,1,1,1,12,8,10,4,6,4,0,4,0,0,6,4,1,2,10,34
