hand,wcj,minscore,mindist
52 25 48 32 13 45 33 12 43 26,22,18,2
11 43 8 44 7 4 40 16 0 46,22,60,4
52 40 21 26 28 16 35 33 52 7,50,27,3
6 20 48 32 2 50 27 36 30 45,13,52,3
35 8 30 52 5 43 26 41 21 52,6,23,3
47 42 29 9 32 48 18 46 43 49,30,25,2
8 35 26 39 20 30 52 13 45 36,46,24,2
33 4 51 28 24 2 30 7 17 52,12,10,1
7 36 30 26 46 29 38 52 20 42,6,18,2
24 33 44 32 39 4 17 48 49 46,41,60,3
21 13 38 29 37 30 44 27 39 33,31,37,2
14 41 19 7 27 20 18 6 11 4,49,43,2
52 24 6 38 28 25 3 47 39 36,50,39,3
7 25 11 26 21 47 43 13 29 39,28,60,4
44 34 12 11 49 25 23 52 15 38,30,31,3
13 52 1 30 5 36 21 18 50 52,12,38,4
50 8 32 45 18 46 25 0 21 24,43,60,4
52 23 10 28 11 40 44 2 19 5,8,43,3
32 21 26 42 0 5 39 23 35 31,44,23,1
33 28 31 13 21 26 46 52 43 3,30,24,2
6 36 9 47 19 16 52 48 50 52,31,25,2
3 25 39 51 20 35 21 24 46 18,37,46,3
17 48 51 50 20 25 13 29 4 45,22,46,3
42 43 27 13 1 46 7 49 4 41,29,34,3
33 36 25 5 28 30 47 35 27 21,12,40,2
8 3 39 5 28 22 7 48 33 50,2,46,3
38 49 43 50 7 28 26 31 12 52,6,48,3
30 24 26 5 23 27 16 8 6 37,31,44,3
24 27 10 38 36 35 16 7 11 5,47,60,3
23 45 32 13 20 46 40 7 49 11,22,51,3
42 14 9 28 19 50 21 44 13 0,5,36,4
6 50 43 25 23 28 5 52 19 20,14,52,3
45 21 29 23 1 0 47 12 14 39,42,23,2
19 11 15 32 39 51 47 14 21 5,22,60,4
50 43 32 36 4 49 40 25 38 51,21,53,3
33 52 24 1 31 51 41 28 27 10,34,44,3
9 1 43 41 6 15 19 50 45 52,13,27,3
26 15 36 2 23 6 45 3 16 28,27,48,3
1 6 24 2 44 47 5 30 20 3,11,32,2
43 19 32 6 46 34 44 5 11 28,0,53,3
27 44 37 17 47 50 16 35 45 30,7,60,3
19 36 41 47 43 7 38 5 26 23,20,47,3
39 48 51 31 22 36 5 52 4 25,40,52,3
5 13 2 26 14 39 41 35 15 21,50,30,3
14 7 5 34 18 28 21 30 37 31,25,52,3
37 15 0 38 34 42 26 2 7 32,29,39,3
10 2 20 37 41 6 27 51 11 38,50,30,3
18 43 52 9 26 12 49 21 1 50,2,48,3
50 17 25 9 37 6 27 13 2 5,46,60,4
18 9 11 39 8 1 45 4 0 49,21,38,3
46 31 4 51 9 29 24 35 41 47,39,60,4
51 41 34 21 50 17 42 47 1 11,39,48,3
24 3 28 52 0 1 16 9 12 48,18,24,2
32 23 47 30 40 43 37 52 26 42,22,46,3
13 19 17 26 3 28 21 2 47 49,18,60,4
11 49 25 20 41 23 44 9 52 16,39,55,3
31 19 22 26 47 40 44 52 9 27,28,40,3
32 44 42 37 5 19 8 1 52 46,6,18,2
42 21 22 47 4 41 14 32 24 10,0,60,4
16 40 10 1 28 7 0 47 52 50,25,50,4
23 32 48 3 44 8 6 40 49 24,29,56,3
52 48 35 36 22 26 10 21 15 43,0,20,2
