hand,wcj,minscore,mindist
36 35 14 18 0 42 31 23 13 26,15,52,3
42 28 35 16 50 32 31 37 20 22,11,23,2
17 13 40 31 8 16 45 19 2 34,32,16,3
51 50 33 12 9 16 30 31 44 45,18,48,3
2 31 42 26 36 35 23 30 3 40,49,19,2
25 12 39 3 24 52 20 21 27 42,28,44,3
0 4 6 43 38 26 16 8 22 37,21,39,3
51 4 26 10 42 36 25 38 49 23,50,13,2
3 8 40 7 23 50 48 19 47 9,41,56,3
52 49 18 43 26 34 31 9 35 37,36,18,2
52 26 7 9 41 21 4 13 2 16,19,33,3
9 0 36 23 7 32 16 49 48 37,14,54,4
31 52 15 23 48 20 27 45 29 28,0,41,3
11 17 48 20 16 4 32 40 13 22,51,60,4
51 44 20 8 5 16 31 7 2 21,10,57,3
2 51 32 5 46 42 52 23 19 11,12,45,3
52 5 25 41 52 21 44 38 27 18,11,17,2
52 48 1 5 16 6 14 10 22 26,36,13,2
6 34 38 25 27 43 37 39 42 41,45,25,2
13 8 29 50 1 16 14 35 20 45,5,60,5
52 45 10 6 4 39 12 50 16 52,34,23,3
26 40 46 6 42 36 33 50 30 15,16,43,5
28 52 13 33 31 41 50 14 22 37,17,39,3
52 14 22 11 6 26 52 25 3 35,4,25,2
48 24 8 47 0 4 46 15 12 52,39,30,3
16 20 35 52 25 1 41 8 2 28,34,27,3
10 27 6 26 35 13 42 47 25 50,16,53,3
19 6 4 20 17 47 38 8 26 43,42,57,3
36 41 2 4 20 27 46 48 21 31,10,43,3
16 36 26 29 45 8 27 6 21 0,4,60,3
1 26 0 27 4 19 3 2 29 46,20,8,1
45 20 16 0 7 14 50 15 38 49,23,30,3
17 42 47 33 45 35 31 43 20 28,8,45,3
32 16 45 38 18 40 20 12 43 46,14,49,2
52 33 34 10 28 47 17 27 6 1,51,43,4
52 18 25 29 31 2 39 22 19 27,44,14,2
35 3 19 6 13 7 18 22 34 39,25,60,4
41 42 15 19 45 37 34 3 39 48,43,60,4
52 10 12 37 31 33 3 34 52 35,4,12,1
19 8 29 44 22 5 52 52 34 16,47,0,0
52 33 44 25 21 29 26 40 23 14,18,19,2
25 16 10 15 31 45 22 8 30 37,27,60,4
29 32 11 25 35 51 13 44 3 33,10,60,3
28 35 39 24 52 52 10 38 47 9,50,16,2
3 27 12 41 17 11 5 52 45 20,13,42,3
42 17 9 7 37 0 18 11 51 48,15,60,4
21 50 43 7 29 1 11 51 30 52,32,49,4
4 47 37 36 17 34 8 38 43 26,14,2,1
37 41 49 11 25 7 4 2 52 30,33,28,2
35 12 4 24 29 52 52 49 11 36,0,31,3
5 8 52 12 17 0 46 23 13 49,28,46,3
2 28 11 37 9 25 6 47 41 5,14,60,3
3 28 31 1 24 32 52 11 52 42,29,3,1
38 34 41 5 19 49 32 50 13 52,1,49,4
6 3 45 13 25 11 24 17 1 10,48,60,4
39 16 27 38 51 4 23 48 37 12,0,44,4
13 25 32 16 46 4 19 11 10 44,30,49,3
33 2 1 31 30 28 3 45 9 52,29,21,2
13 39 1 21 41 47 37 43 38 19,45,37,3
6 11 7 17 13 14 52 43 12 48,20,23,2
9 0 16 24 13 52 5 23 19 10,15,44,3
13 7 22 19 31 27 5 33 3 30,43,42,3
50 35 7 42 19 31 8 0 32 22,1,60,4
43 16 15 6 32 20 19 30 52 29,21,23,2
15 9 28 48 50 19 39 43 11 32,6,16,2
27 32 17 45 46 4 8 10 15 35,44,60,4
40 20 0 22 23 7 50 29 52 1,25,32,3
6 32 12 44 24 7 26 42 38 46,49,60,4
31 3 34 22 28 29 41 10 7 24,23,44,3
21 52 37 23 18 41 2 43 35 6,7,49,3
26 24 10 21 28 1 4 52 13 2,48,38,3
8 52 21 44 43 39 29 36 14 37,2,43,3
7 19 10 37 42 13 16 25 47 18,28,60,4
3 42 27 52 39 2 19 9 40 49,47,40,3
24 51 1 9 27 50 48 10 19 26,18,60,3
0 33 30 5 15 9 25 49 18 47,12,45,3
31 40 25 47 52 33 44 1 3 22,4,48,3
17 11 18 3 32 21 48 44 22 0,25,60,4
51 16 44 33 34 9 21 6 36 48,15,60,4
34 25 52 0 37 23 12 10 44 20,47,28,3
24 49 35 11 47 3 41 42 52 14,5,47,3
51 24 38 50 25 16 13 23 27 44,36,17,2
36 45 21 34 44 16 22 42 32 9,50,60,3
16 18 48 9 51 29 2 8 14 50,27,41,2
13 10 5 6 24 26 52 28 11 9,51,18,2
52 41 31 40 2 37 11 3 20 1,32,23,2
36 19 11 51 27 2 28 46 23 37,1,55,3
22 29 52 15 35 38 28 25 31 1,34,43,2
49 38 11 12 19 6 26 41 40 3,0,48,3
42 31 52 32 50 36 3 5 19 40,11,23,2
49 9 47 20 31 35 44 18 38 1,10,32,3
1 33 6 52 34 7 22 42 30 37,44,51,4
28 22 15 6 1 10 21 32 30 25,24,60,4
14 3 49 24 41 46 19 36 28 2,8,55,4
4 2 17 52 30 5 45 52 19 50,8,21,1
28 43 46 21 14 4 49 52 19 20,40,16,1
40 52 6 18 31 50 41 0 27 30,12,36,3
51 9 12 18 13 29 2 47 52 49,11,48,4
9 34 12 31 1 40 47 24 8 25,5,26,2
52 36 16 48 12 14 3 23 26 34,42,25,3
35 34 4 39 13 2 49 45 40 0,33,51,3
18 17 7 26 24 5 10 41 51 8,16,60,4
30 22 13 20 47 17 27 26 50 7,40,45,3
27 52 52 12 42 39 46 32 37 28,2,33,3
29 0 34 25 33 43 30 41 26 9,51,35,3
21 11 47 46 52 23 10 31 33 8,16,35,2
4 17 45 52 12 23 28 13 47 41,9,42,3
13 3 46 39 44 24 11 26 1 18,2,51,3
6 44 3 20 11 33 47 29 17 0,35,60,4
7 30 20 49 40 0 6 43 22 9,42,60,3
15 10 50 9 52 42 32 19 29 3,34,30,2
43 26 8 23 51 52 22 41 0 16,29,24,2
4 14 39 28 23 38 7 35 20 42,49,40,4
27 14 34 25 37 36 52 1 46 8,10,25,2
44 4 16 9 34 43 49 23 52 51,20,54,4
5 30 23 44 19 28 42 52 13 31,16,20,2
49 44 27 7 2 45 37 30 50 23,29,60,4
45 29 17 42 12 15 40 7 10 16,28,26,3
11 52 2 15 48 35 1 3 44 26,36,23,3
52 11 47 9 20 27 12 16 23 41,31,41,4
35 46 7 47 21 19 13 17 0 23,15,60,4
40 32 34 24 39 52 30 25 35 50,1,18,2
1 22 27 3 6 10 43 51 52 8,30,31,2
52 31 1 52 35 20 42 6 0 34,43,27,3
45 6 0 52 30 29 11 19 46 50,12,22,2
30 6 43 50 38 33 20 52 25 4,11,8,1
27 5 22 52 30 28 16 21 14 11,8,27,2
1 52 38 17 22 4 48 5 28 41,46,40,3
21 10 30 37 34 16 28 29 24 18,4,51,3
27 44 23 35 21 0 38 7 11 49,20,52,4
5 50 30 20 41 46 48 26 52 51,38,19,3
2 52 21 13 0 30 6 52 45 12,34,8,1
23 2 3 27 0 13 33 39 49 8,10,21,2
29 31 23 40 6 5 24 52 35 21,45,18,2
14 9 23 52 1 46 36 6 0 17,30,29,2
46 29 40 34 45 3 47 38 20 32,17,50,3
12 46 1 29 30 18 51 3 23 15,32,60,4
6 11 41 28 43 18 38 52 46 39,15,37,3
52 18 32 28 3 52 22 19 52 10,35,15,2
26 23 43 48 52 44 50 36 13 34,33,47,3
23 12 3 27 31 47 35 10 13 6,25,45,4
2 15 44 29 27 39 9 33 3 40,26,40,3
22 48 13 3 30 19 11 24 38 10,47,60,5
7 28 27 11 6 25 15 19 34 44,10,60,4
52 34 41 31 51 17 49 6 35 8,23,27,2
52 37 19 9 17 14 44 13 8 21,23,46,3
11 26 13 52 28 51 48 39 2 22,34,28,2
36 48 50 33 12 52 32 22 19 13,31,57,3
7 29 39 27 17 23 38 51 12 10,40,22,3
29 31 33 45 21 35 10 25 28 23,14,60,3
52 19 49 7 12 22 18 23 48 45,24,60,3
28 33 16 22 6 34 17 52 21 24,23,42,2
46 18 36 14 52 1 38 4 50 49,19,48,3
7 27 31 51 35 15 37 49 25 38,29,53,4
44 46 25 48 16 21 9 1 4 50,10,60,4
36 48 20 40 17 10 24 0 28 14,29,60,4
29 39 36 38 41 15 24 49 42 25,6,60,3
37 7 14 22 52 38 9 52 17 48,20,0,0
29 17 44 16 27 42 45 30 20 10,9,49,3
36 34 31 18 35 12 40 9 16 8,22,28,3
19 0 10 4 6 17 40 5 51 11,26,27,2
6 36 43 16 17 28 13 9 15 18,8,40,3
52 27 16 19 52 33 38 48 20 43,32,21,2
25 1 24 12 3 51 10 5 37 41,9,49,3
42 46 30 4 36 32 3 52 21 14,23,27,3
2 15 21 7 4 41 6 47 32 9,14,60,2
39 23 50 3 45 52 27 29 10 34,7,43,4
52 47 4 42 26 18 15 20 8 38,24,43,3
39 33 3 40 15 7 17 4 42 0,26,17,2
44 16 2 18 49 1 8 7 32 6,36,20,2
43 19 22 41 7 31 5 11 52 25,46,38,2
17 0 1 37 20 23 22 39 18 24,28,39,2
28 7 38 25 32 3 0 20 1 14,10,60,3
12 43 3 42 29 50 46 33 52 1,23,29,2
28 27 45 14 52 49 36 15 31 25,7,39,2
11 34 46 51 33 9 18 36 16 38,25,21,1
45 32 27 10 24 7 8 20 19 48,28,60,3
17 25 49 1 47 2 23 0 4 44,10,22,1
7 41 16 47 43 45 50 6 10 33,34,51,3
10 20 22 43 9 36 23 4 44 34,33,29,2
27 13 31 47 3 18 37 49 35 7,50,43,4
40 17 36 3 52 52 24 30 32 9,2,44,4
39 27 43 52 9 8 14 13 2 15,33,15,3
20 46 52 9 33 14 42 10 28 11,15,3,1
33 30 19 42 23 16 50 4 28 26,13,51,4
45 41 29 43 48 52 2 38 26 46,34,31,2
11 23 45 9 28 48 8 46 19 30,49,45,2
16 52 52 17 1 6 52 34 51 0,30,18,2
34 39 33 8 25 41 44 3 46 52,20,17,2
15 4 27 17 48 12 20 50 42 16,40,30,3
7 21 46 17 24 51 8 15 47 23,37,30,2
29 52 23 0 39 12 21 14 33 35,34,20,3
14 17 2 18 9 16 51 48 52 24,12,14,2
42 26 44 28 18 36 34 20 3 32,0,45,3
8 52 19 21 17 12 31 23 45 13,43,29,3
52 3 6 45 25 17 0 42 19 49,23,18,2
13 28 17 26 5 35 40 43 30 34,2,14,2
43 15 44 21 37 18 51 42 52 52,6,24,2
50 3 14 9 13 24 40 30 16 33,7,34,3
41 33 52 50 21 45 38 30 10 15,43,55,4
33 52 29 27 37 52 5 49 34 20,22,34,2
33 52 21 52 15 12 31 29 1 40,22,22,3
25 14 45 19 52 17 37 51 35 3,29,25,2
15 4 45 20 39 17 21 28 48 25,24,60,4
43 48 9 50 40 27 16 38 15 39,1,28,3
2 24 3 17 48 37 19 5 14 32,18,44,3
40 31 12 36 38 51 43 42 23 30,18,20,1
52 33 32 23 50 8 48 42 5 45,10,30,2
37 19 4 1 47 30 20 22 29 5,21,37,2
52 35 4 18 28 14 23 6 30 5,42,30,3
46 43 47 1 9 5 8 11 19 18,16,60,3
52 17 12 25 19 33 39 3 51 24,8,26,3
2 30 0 18 9 47 1 35 13 29,14,36,3
40 33 8 34 52 29 19 28 7 31,18,20,2
4 12 52 13 41 38 48 40 50 5,46,42,3
29 46 14 13 21 12 35 4 8 45,47,31,3
35 44 43 38 29 0 14 3 37 18,11,41,3
46 4 0 6 1 8 3 32 50 49,22,60,3
7 36 0 11 42 9 18 39 49 25,28,60,4
11 39 28 47 44 49 1 25 45 52,32,36,4
19 34 42 0 4 52 48 35 17 2,46,41,3
27 4 3 10 1 26 9 22 30 52,0,19,2
10 41 6 19 22 42 11 38 45 12,31,29,2
15 24 52 52 18 29 1 48 47 26,27,17,2
41 38 51 21 30 10 52 14 27 39,34,19,2
12 34 0 44 38 7 26 31 24 8,13,33,2
29 12 23 30 0 22 4 21 39 10,42,16,2
52 13 22 43 31 41 14 5 8 27,4,26,3
27 14 31 16 7 0 41 17 8 22,50,59,4
21 51 4 2 17 52 35 20 29 38,36,50,3
31 50 39 0 8 11 49 5 35 6,38,60,3
10 15 8 20 48 4 24 52 32 41,35,33,3
43 39 7 8 49 34 11 2 15 0,5,60,4
13 3 16 0 31 50 15 25 4 40,27,30,2
7 19 9 12 6 41 32 29 10 43,36,25,2
42 48 1 28 7 44 40 4 6 16,26,60,3
50 8 18 32 46 14 11 36 19 15,5,52,3
38 7 42 37 19 6 52 2 17 22,44,50,3
16 47 30 15 35 18 45 7 13 21,43,45,3
11 50 32 16 4 34 5 41 1 49,15,49,3
17 28 40 45 31 49 42 52 22 43,27,37,3
50 29 43 7 1 40 2 45 16 47,23,60,4
29 49 12 28 1 24 52 35 38 42,46,47,3
21 28 27 52 6 5 16 43 29 45,3,10,1
28 9 48 30 0 4 43 39 42 14,51,36,3
52 38 1 13 10 24 48 34 37 49,4,55,4
23 12 6 16 52 33 27 40 36 5,26,45,3
20 3 5 32 15 33 10 26 25 16,50,60,4
51 32 2 23 5 44 35 36 17 46,6,53,3
3 51 19 8 38 40 16 27 33 25,48,43,3
46 50 4 29 9 13 28 41 30 23,47,51,5
50 27 24 1 43 51 17 49 48 38,3,38,2
52 8 15 34 24 44 37 9 42 52,28,10,1
25 20 8 33 36 17 12 42 9 3,26,60,4
12 25 47 33 35 5 41 15 6 36,16,60,3
5 34 24 2 35 12 51 3 28 44,4,60,3
41 30 22 7 42 49 38 5 29 19,43,52,3
16 36 45 48 17 47 44 51 18 19,37,55,2
6 36 10 19 50 16 24 22 9 33,13,60,4
3 31 8 47 7 29 15 48 1 52,20,22,2
51 2 12 18 52 28 1 9 43 20,41,19,2
0 16 44 30 37 33 15 42 34 29,13,27,3
50 1 38 37 4 12 52 52 17 29,7,20,2
17 7 6 2 24 29 52 43 30 33,37,17,2
11 19 49 35 24 10 20 15 12 23,29,60,3
49 1 20 19 10 50 38 44 39 3,18,47,3
10 52 36 42 13 35 15 34 16 50,3,10,1
0 45 22 47 50 38 48 46 9 43,2,28,3
13 17 43 4 11 34 29 39 33 50,5,48,3
18 22 38 20 23 52 5 7 21 49,50,27,2
39 10 3 49 30 47 25 5 28 2,37,60,3
46 33 24 30 11 8 14 18 5 47,40,58,3
18 32 24 35 5 52 43 10 30 39,15,52,3
41 7 40 20 11 51 29 26 34 47,33,17,2
42 0 3 6 41 38 21 18 28 25,49,60,4
23 46 25 52 19 16 21 47 12 43,26,58,3
23 29 10 30 52 13 52 24 39 33,48,23,2
28 21 5 20 52 47 8 27 25 4,18,22,2
0 27 16 3 47 43 40 51 29 32,12,26,3
11 20 52 7 23 52 33 18 31 49,0,10,1
32 3 30 8 28 27 15 10 20 41,36,27,3
35 19 2 12 39 8 43 51 28 33,21,43,3
20 25 12 40 19 52 43 41 15 29,0,39,2
37 48 11 14 26 21 3 29 13 23,12,60,4
52 49 20 12 18 8 50 6 10 11,28,34,2
2 25 40 11 0 27 42 49 8 36,3,42,3
0 4 49 26 29 19 21 45 51 8,6,15,2
26 48 18 36 2 6 0 29 52 37,4,38,3
16 23 11 25 40 46 48 39 36 52,20,35,3
49 21 16 41 2 12 23 32 33 37,26,60,4
8 40 16 15 33 21 14 4 50 41,7,23,2
18 28 38 39 47 32 8 48 5 41,19,44,3
13 0 6 36 28 22 32 39 27 18,9,24,2
15 45 42 8 25 9 33 2 32 36,18,60,4
15 50 12 46 26 29 24 36 49 33,16,54,3
47 25 50 1 23 37 35 4 28 0,45,60,4
34 37 26 33 45 16 0 15 35 43,27,37,3
23 7 37 9 16 39 48 49 15 33,28,55,3
0 7 51 27 40 22 24 10 35 20,15,60,4
51 40 41 39 17 2 18 47 4 44,45,40,2
21 27 20 37 52 30 13 24 47 9,2,50,3
35 43 0 12 32 27 14 11 44 2,46,60,3
41 44 38 24 30 25 49 21 28 46,16,60,4
33 38 15 10 21 6 48 11 52 19,23,51,4
16 52 46 15 35 0 23 18 42 4,3,37,3
51 37 48 21 46 24 13 4 19 40,17,52,3
1 16 31 38 49 35 32 52 29 51,28,48,3
24 11 52 12 0 6 52 3 22 15,9,12,1
45 9 47 36 52 12 24 41 50 21,19,34,2
18 12 43 31 11 35 33 52 46 52,10,29,2
52 37 23 32 51 11 5 21 49 48,20,55,2
3 30 21 1 41 37 2 23 20 0,50,10,2
10 27 21 26 7 14 34 42 39 36,50,60,4
10 2 6 52 37 4 21 36 24 29,40,53,3
46 49 0 20 1 17 27 11 9 32,8,60,4
7 26 3 22 17 1 29 8 6 4,20,36,3
50 1 15 42 14 35 49 17 39 38,2,39,3
26 52 50 18 6 8 14 39 16 11,44,12,2
16 33 49 32 6 1 52 44 38 18,46,28,3
48 0 2 1 31 7 37 44 38 9,11,33,2
30 35 6 2 43 8 40 27 46 44,10,60,3
34 48 2 43 52 17 40 46 47 30,6,17,2
44 39 38 6 10 2 7 47 11 40,13,51,3
8 43 16 42 48 31 28 52 40 22,33,40,3
2 21 44 5 23 16 0 15 22 25,38,15,2
6 40 45 43 50 34 32 52 22 38,1,36,3
52 31 15 52 40 7 46 25 37 21,17,44,3
46 50 16 23 30 21 28 25 3 43,37,45,3
12 16 9 7 8 19 27 46 3 0,24,42,3
18 26 35 32 30 14 19 29 43 22,49,60,3
40 26 46 52 20 23 25 5 15 45,1,21,3
52 29 28 13 49 9 48 27 34 35,7,22,2
52 48 50 42 24 8 25 6 5 38,33,55,2
20 26 28 42 19 24 51 30 48 21,1,47,3
52 19 30 0 26 36 33 43 29 16,42,12,1
28 51 2 44 39 49 6 7 17 11,40,60,4
10 14 47 41 13 19 4 34 17 16,49,34,2
19 18 9 27 52 20 43 4 7 8,2,3,1
18 29 19 48 22 25 13 33 4 15,1,60,3
19 1 7 9 8 37 18 44 50 34,12,55,3
29 22 14 52 1 21 40 52 45 10,43,23,2
8 49 31 22 18 27 16 39 3 23,25,60,4
12 38 48 44 32 22 17 35 47 34,41,60,3
40 4 26 23 1 39 24 21 42 35,41,60,3
52 33 1 14 50 16 35 36 25 8,30,41,3
52 3 32 47 34 45 24 21 13 52,14,17,2
23 35 39 21 52 30 40 36 10 19,6,21,2
21 45 38 41 3 47 22 52 33 9,30,56,4
4 2 30 26 51 52 28 43 45 39,46,18,2
34 40 32 6 27 25 47 41 42 52,10,29,2
47 32 9 2 6 45 51 17 49 46,13,56,3
47 44 52 21 2 3 28 24 43 34,11,4,1
38 13 10 1 52 11 37 41 43 47,9,45,3
14 11 19 27 40 32 45 52 37 4,2,6,1
15 4 29 13 28 46 14 52 52 2,36,9,1
2 27 16 32 49 33 40 42 41 17,28,21,2
47 40 8 34 43 44 52 27 3 24,9,21,2
6 18 52 42 17 11 38 39 30 25,8,44,3
43 6 7 38 19 36 4 37 22 41,21,51,2
33 7 45 13 20 52 12 5 14 18,48,23,2
1 13 24 43 17 3 4 18 44 51,36,44,3
8 7 44 50 42 18 52 43 52 15,32,21,1
47 2 27 22 46 52 36 21 18 28,17,47,3
35 20 24 38 21 51 50 25 47 39,14,60,3
12 50 52 6 27 28 37 44 38 17,23,48,3
19 46 15 31 20 52 21 50 37 51,26,30,3
18 52 35 52 7 41 31 45 9 47,37,27,2
35 52 18 22 46 45 10 44 12 20,9,0,0
14 52 9 2 49 24 45 52 26 47,46,29,4
52 14 15 21 29 45 26 4 50 8,47,21,2
40 29 48 45 47 32 1 10 39 9,17,60,3
52 30 52 38 49 40 52 19 6 12,3,19,2
4 14 27 10 52 2 48 45 23 36,37,24,2
29 41 8 32 1 50 28 16 9 18,14,43,3
17 16 10 7 2 3 36 39 52 30,31,37,3
6 10 52 19 21 8 36 25 35 44,39,60,3
4 29 45 20 6 16 52 30 13 33,25,40,3
7 42 38 46 36 14 41 10 52 32,33,20,2
39 34 16 30 40 52 49 4 37 10,43,10,1
25 42 44 34 52 52 45 21 52 38,36,0,0
34 21 32 40 52 38 37 20 30 36,3,26,2
52 23 7 28 46 26 25 50 31 19,42,49,3
16 46 39 42 35 25 34 8 32 49,0,49,3
14 0 3 16 24 22 10 39 38 25,26,23,2
21 40 35 31 27 48 12 22 47 17,0,49,3
41 36 24 18 44 26 28 17 23 52,0,24,2
52 16 0 14 33 11 26 42 27 30,51,35,3
0 46 37 8 49 1 20 28 29 2,40,45,3
5 47 26 19 43 38 13 41 27 2,11,41,3
39 43 25 30 37 14 52 33 29 28,4,20,2
30 1 52 36 28 33 38 44 41 20,24,42,3
8 29 14 48 12 41 2 43 45 17,3,47,3
52 31 50 27 41 34 47 40 20 49,25,36,3
29 52 12 1 8 43 7 16 13 25,15,40,3
26 46 40 50 19 25 49 42 27 36,5,60,4
9 33 3 46 48 5 20 42 52 28,31,4,1
51 7 46 25 45 5 3 48 19 31,13,60,3
52 15 28 42 46 41 19 32 6 18,1,21,2
29 39 43 42 27 32 14 37 22 36,44,60,4
6 32 50 41 16 52 19 23 21 33,36,27,3
33 27 25 12 45 22 13 32 1 48,4,60,4
27 20 18 42 33 43 12 28 11 21,19,60,3
19 21 7 14 36 30 5 45 46 33,28,52,4
33 25 17 52 31 52 2 46 32 49,30,14,1
47 9 14 46 48 34 20 0 31 45,21,20,3
7 38 40 25 18 31 47 10 50 28,9,60,4
52 30 14 0 26 1 37 49 21 19,32,36,3
52 48 7 27 50 16 31 10 21 37,30,54,4
52 17 21 38 28 49 24 4 37 5,44,34,2
2 27 38 47 15 35 39 20 8 10,22,42,3
51 25 14 5 19 45 10 40 21 29,12,30,3
30 23 5 15 4 49 19 52 7 40,43,15,2
31 19 2 36 15 52 51 52 14 30,9,31,3
0 8 32 24 27 6 35 43 48 9,34,21,3
12 10 29 24 1 16 22 26 40 41,37,32,3
22 3 17 9 41 32 39 18 10 28,21,60,4
11 8 40 43 7 6 17 10 4 51,1,10,1
16 32 30 13 24 52 50 11 47 40,12,20,2
26 6 13 16 19 29 50 20 44 14,31,35,3
51 52 49 40 13 39 26 12 25 23,10,0,0
18 24 6 29 9 52 42 49 50 44,8,52,3
41 16 8 31 24 28 21 6 39 25,29,45,3
11 14 10 50 27 52 51 26 7 13,28,39,3
3 2 52 18 40 52 10 13 11 32,24,20,3
25 22 44 52 26 16 50 34 38 15,5,32,2
46 52 29 44 47 8 31 1 48 3,6,23,2
50 43 3 38 1 6 51 41 52 23,30,32,3
7 45 14 41 43 3 16 17 34 28,5,60,3
12 27 40 23 28 45 36 4 15 35,46,60,4
27 10 14 26 35 51 2 48 11 31,23,39,4
13 52 16 41 25 11 49 30 18 23,5,25,3
35 12 42 52 3 22 34 51 2 7,43,53,3
27 9 19 31 45 6 36 24 51 42,17,55,5
30 17 34 52 35 26 29 28 45 14,51,19,2
15 9 25 24 47 3 28 38 27 39,40,45,4
52 20 37 10 3 13 51 34 31 30,0,44,3
40 48 34 52 23 31 32 3 16 17,33,39,3
27 33 17 14 34 40 42 32 16 9,46,26,2
45 0 21 47 34 5 25 51 2 22,6,23,2
17 23 41 46 50 11 42 47 43 39,12,57,3
7 24 42 19 15 50 38 16 48 2,47,60,4
9 3 47 22 2 43 13 0 52 4,40,20,2
28 30 41 0 42 15 12 25 14 11,50,16,2
29 5 31 10 9 45 27 40 44 24,38,49,3
14 42 16 37 44 0 19 5 12 50,23,60,4
5 49 26 31 4 41 0 1 15 34,40,38,3
15 6 17 51 22 43 26 1 25 14,27,24,3
26 0 44 17 49 29 43 5 16 7,48,59,4
32 46 25 52 11 35 36 38 45 33,28,47,2
29 16 36 49 1 40 0 17 47 44,46,60,4
4 19 50 40 41 46 15 18 30 3,0,60,4
49 5 3 40 0 28 2 7 41 27,31,26,2
12 5 26 1 9 48 7 38 16 29,8,60,4
36 22 0 46 43 8 15 13 24 9,40,60,4
47 29 0 46 16 11 17 19 6 27,48,60,3
50 34 6 52 9 10 52 25 38 0,24,12,2
14 46 35 15 39 30 16 41 51 36,21,51,2
50 16 52 20 26 4 28 3 2 38,44,24,2
45 10 26 4 9 0 42 6 50 37,31,60,4
6 31 38 29 3 42 30 15 4 13,37,40,2
2 34 10 46 45 5 40 7 3 0,28,45,3
30 8 5 52 40 36 2 26 42 34,13,27,2
10 41 31 1 51 48 16 6 43 40,25,43,4
34 14 17 9 37 29 4 13 11 46,47,41,3
0 21 9 47 52 23 28 36 52 19,14,24,3
4 39 50 35 27 37 30 21 52 15,2,25,3
52 40 7 44 29 41 28 12 32 30,14,26,2
43 48 1 28 9 32 2 16 36 22,25,40,4
3 26 30 12 2 33 52 49 21 8,50,46,3
36 16 12 6 37 3 24 11 2 23,1,52,3
17 27 35 20 18 36 13 28 46 40,41,37,2
28 12 14 30 24 23 44 15 31 52,4,21,2
20 0 10 12 2 42 43 49 52 36,47,20,1
5 21 43 32 24 48 0 19 49 10,38,60,4
51 25 52 27 44 20 12 15 39 0,11,23,3
44 5 30 21 16 48 39 31 10 40,8,31,3
12 5 31 13 33 38 17 41 6 4,32,41,3
38 31 5 35 39 52 4 24 8 20,7,39,3
40 52 18 0 52 46 47 39 6 48,2,14,2
29 39 40 25 49 31 13 10 7 47,19,60,4
27 38 30 7 34 41 12 19 25 6,28,27,2
3 37 19 27 12 49 25 46 33 35,21,60,4
18 25 49 7 22 43 39 38 13 9,0,32,3
29 21 9 35 1 45 37 16 19 50,5,60,4
1 26 15 34 43 17 41 48 10 25,40,50,4
51 19 36 49 21 3 2 42 39 31,11,60,4
35 41 40 39 9 1 32 52 7 45,20,3,1
41 52 46 3 52 9 13 4 10 48,37,17,2
43 15 37 17 36 45 10 50 4 6,16,60,3
6 7 42 40 9 43 47 38 39 48,10,60,3
14 33 3 52 23 32 1 21 12 17,30,21,2
19 15 41 30 10 50 36 33 27 18,8,60,4
30 15 28 0 51 47 29 39 35 17,18,44,3
11 41 52 46 26 49 10 4 45 12,7,20,3
52 42 41 21 2 28 36 20 12 6,35,33,3
12 35 9 52 40 8 17 43 1 19,27,16,2
18 30 5 41 40 19 9 25 52 37,34,50,4
43 44 31 22 39 33 15 35 46 5,10,50,3
51 2 12 28 6 5 43 49 23 19,3,60,4
32 46 37 52 45 19 27 33 5 12,8,30,3
24 38 31 2 22 19 41 17 35 3,15,32,2
17 52 1 31 2 35 47 51 20 39,29,49,3
25 12 5 10 19 30 36 23 1 21,38,16,2
50 10 48 25 5 2 0 39 32 13,43,59,3
41 2 22 39 33 12 31 19 27 10,4,60,4
17 13 46 15 25 4 39 21 8 52,11,39,2
23 24 48 31 11 38 32 51 17 7,42,60,4
20 5 6 18 23 3 15 41 28 49,51,56,2
32 3 24 15 20 0 22 29 42 50,23,53,3
42 35 4 40 9 25 44 18 7 51,1,54,3
6 25 52 35 33 23 50 21 19 5,38,33,2
16 43 9 4 49 13 34 28 44 37,41,53,4
42 45 30 36 40 6 2 12 17 41,8,52,3
21 36 4 5 44 27 6 1 10 31,17,24,2
52 46 45 33 52 28 49 12 25 43,19,19,2
17 12 50 35 28 44 10 26 33 25,1,60,4
24 9 32 21 48 27 28 34 1 22,25,48,3
49 21 31 29 24 16 19 44 1 4,17,47,3
33 17 8 4 7 6 47 18 10 25,31,39,3
41 10 39 52 7 1 45 9 8 3,46,8,1
52 52 0 51 15 11 32 14 30 33,18,22,2
31 39 25 37 26 28 46 23 42 5,45,60,4
19 10 17 52 37 52 26 36 31 49,48,19,2
38 5 52 47 2 52 21 52 12 30,19,17,1
11 12 1 17 42 20 6 32 10 35,7,24,3
3 52 50 52 41 45 30 21 42 14,40,28,3
31 16 5 29 48 41 6 15 42 21,34,25,2
52 52 42 30 26 15 11 38 4 1,8,22,3
41 52 1 10 38 9 17 5 8 52,18,13,2
44 35 29 24 30 3 37 21 5 26,4,46,3
12 29 50 4 51 3 40 2 27 9,22,21,2
22 9 39 16 34 19 24 12 52 45,49,53,3
32 25 7 10 0 52 1 11 31 27,16,42,3
2 21 15 48 49 24 8 52 7 41,12,39,2
12 15 36 19 25 38 47 44 52 46,30,22,2
39 34 9 50 35 14 24 52 38 20,40,31,3
22 8 38 34 20 51 45 3 2 7,17,60,4
