init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
48 43 10 6 40 47 35 45 32 8,5 11 37 2 13 28 25 44 12 24,15,54,0,1,2,48 43 6 40 47 35 45 32 8 42,2 25 12 11 37 24 5 44 18 28,0,0,3
31 26 47 3 24 52 37 52 43 32,21 38 44 48 9 10 28 27 23 0,1,0,15,0,4,31 24 52 37 52 32 19 30 33 21,27 44 45 48 9 22 0 39 28 18,1,1,1
16 46 17 21 22 2 18 19 13 28,38 24 3 36 41 44 52 6 12 31,25,33,0,1,3,16 17 21 22 2 18 19 13 28 14,38 44 31 36 52 49 3 29 42 12,0,0,3
42 39 3 8 13 41 30 1 27 11,2 34 7 4 31 51 40 18 26 22,49,0,12,0,14,42 3 41 30 27 10 29 52 5 43,31 18 52 51 23 12 26 40 14 2,1,2,0
27 35 40 5 14 22 43 31 25 34,32 46 10 52 18 36 44 45 50 13,16,0,13,0,8,27 40 5 14 22 31 25 52 24 18,10 52 36 46 44 45 13 26 1 17,0,1,2
33 20 11 0 18 49 37 2 38 34,8 45 52 14 32 19 30 42 26 48,44,0,13,0,4,33 20 11 0 18 37 2 24 46 7,45 32 19 52 30 17 26 14 40 42,0,1,2
35 5 48 38 33 13 16 30 12 25,11 49 27 31 8 17 1 44 28 52,14,42,0,1,5,35 5 48 38 13 16 30 12 25 26,27 17 4 1 8 21 49 23 10 52,0,0,3
52 3 18 12 42 39 11 50 35 38,47 30 40 25 16 4 5 20 41 52,44,0,3,0,4,52 3 18 12 42 11 35 38 36 16,30 4 5 46 20 33 52 41 2 40,0,2,1
3 50 49 0 52 6 51 16 26 42,52 19 25 35 31 40 38 23 30 8,14,0,30,0,1,3 50 49 0 52 51 16 26 42 1,52 25 38 31 40 30 13 19 35 23,1,0,2
19 22 21 5 35 20 52 9 34 37,47 48 26 30 38 7 2 49 17 1,25,0,18,0,0,19 22 21 35 20 52 9 34 37 51,47 48 26 30 38 7 2 49 17 1,1,1,1
52 46 19 4 32 33 45 38 0 28,2 24 50 10 44 43 37 6 26 52,49,20,0,1,3,52 46 19 4 32 33 45 38 28 20,24 50 37 10 2 0 44 43 52 41,0,2,1
37 27 13 29 24 20 10 25 38 18,21 51 34 47 7 8 35 36 11 14,23,5,0,1,7,37 27 24 10 25 38 42 50 1 40,21 34 47 36 35 48 8 7 6 52,1,0,2
10 44 34 48 25 7 42 47 16 43,41 12 14 26 51 49 39 40 28 20,45,21,0,1,4,10 44 48 7 42 47 43 52 49 0,41 51 39 40 20 33 6 26 28 52,1,1,1
38 44 19 20 37 27 8 29 21 34,11 17 46 4 16 41 5 52 22 14,1,0,25,0,1,38 19 20 37 27 8 21 34 36 22,17 16 52 4 5 14 13 41 46 11,2,0,1
4 28 19 14 12 3 1 32 16 30,26 46 33 21 27 48 51 15 13 9,29,0,60,0,1,4 19 14 3 1 32 16 30 43 52,26 46 33 21 27 48 51 15 13 9,0,0,3
52 17 3 49 25 44 48 6 5 1,12 52 47 15 50 18 39 40 21 14,36,8,0,1,3,52 3 49 48 6 5 1 7 50 46,47 21 8 15 14 16 52 39 40 42,1,1,1
16 14 13 27 24 37 36 34 15 49,4 28 5 10 9 52 2 41 22 17,26,0,22,0,1,16 14 13 24 37 36 34 15 25 52,10 9 52 28 2 41 1 4 17 5,1,2,0
46 22 21 47 31 2 23 44 39 45,18 14 15 41 33 37 52 32 5 1,48,0,30,0,3,46 22 21 47 31 23 44 45 30 32,33 52 20 26 14 1 15 41 18 5,3,0,0
1 8 34 9 47 43 50 29 28 12,39 15 10 25 52 38 41 27 40 30,46,0,2,0,5,8 34 9 47 29 28 12 10 20 30,25 52 38 40 27 1 41 15 33 39,1,1,1
10 45 22 50 11 30 20 52 39 25,37 40 9 51 18 41 46 1 6 52,19,0,13,0,2,10 45 22 11 30 20 52 27 9 21,40 51 41 6 52 46 7 1 14 18,2,1,0
20 15 39 33 41 29 48 5 3 7,46 2 1 52 31 27 18 35 21 43,25,0,10,0,9,20 15 33 41 5 3 7 6 51 28,52 31 18 42 43 12 45 1 27 2,0,1,2
27 46 37 22 31 4 23 32 25 1,50 34 49 6 24 29 11 40 45 15,16,17,0,1,7,27 22 31 23 32 25 3 26 38 0,50 24 11 29 40 51 45 44 46 43,1,1,1
21 4 19 3 40 1 7 47 52 49,15 5 16 22 45 20 18 13 0 32,50,0,33,0,3,21 4 19 3 1 47 52 6 32 24,22 20 52 13 0 15 16 43 5 18,0,1,2
48 23 51 27 9 30 44 26 29 12,50 14 52 21 13 38 6 43 17 46,35,0,44,0,1,48 23 51 27 9 30 29 12 22 38,52 21 34 13 14 43 17 6 46 50,0,2,1
50 23 4 39 11 34 9 52 0 8,13 29 48 46 22 42 20 27 28 33,3,42,0,1,2,50 23 39 11 9 52 0 8 25 45,29 27 28 46 20 33 48 22 35 42,1,0,2
40 13 21 16 49 47 33 4 19 39,52 41 52 48 23 27 10 29 34 14,46,0,3,0,5,13 21 47 33 4 39 34 17 26 43,52 27 29 52 41 15 23 10 36 14,0,0,3
52 20 47 42 9 49 34 4 12 26,10 0 39 19 6 7 41 45 30 28,16,0,15,0,3,52 20 47 42 9 49 12 10 46 7,19 6 45 28 30 3 0 39 41 44,0,2,1
30 50 17 43 8 48 23 45 29 42,37 46 9 36 18 11 49 19 47 44,13,0,10,0,9,30 17 43 8 45 42 4 7 9 44,46 49 47 0 18 19 20 27 40 41,2,0,1
32 26 41 47 8 36 38 51 7 40,15 9 11 50 43 34 17 25 28 48,46,0,20,0,5,41 47 8 38 51 7 40 12 25 39,9 11 20 52 34 35 15 28 43 17,1,0,2
46 47 25 41 24 0 18 44 51 8,52 40 16 22 34 19 31 9 27 3,14,14,0,1,4,46 47 25 41 24 44 51 45 43 38,52 22 9 40 16 3 19 18 20 27,1,0,2
25 37 9 31 46 2 6 3 38 51,32 10 34 52 28 44 17 19 4 49,29,0,17,0,4,25 37 31 3 38 51 30 36 34 32,10 52 49 17 4 42 0 28 41 44,1,1,1
