init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
46 41 12 5 3 43 11 20 52 17,22 37 48 13 42 24 26 27 44 52,23,4,0,1,7,52 3 5 17 49 43 20 19 21 41,22 37 48 13 24 26 52 11 9 35,0,0,3
7 20 1 10 26 31 18 49 38 36,17 50 8 5 19 2 45 29 11 16,47,15,0,1,3,10 49 36 7 20 52 26 1 14 31,17 50 8 19 29 11 16 3 18 52,1,0,2
38 50 27 45 18 35 8 23 48 33,24 20 44 34 32 51 52 40 1 2,12,0,19,0,8,38 35 33 50 48 49 27 28 25 52,24 20 34 32 51 52 40 23 42 39,1,2,0
11 48 20 13 19 3 36 52 10 21,27 42 45 38 51 17 43 37 44 41,30,0,13,0,3,20 19 21 52 46 48 11 10 12 9,27 42 45 38 51 17 43 37 44 36,2,1,0
43 10 40 8 45 16 49 5 3 46,25 7 50 30 6 24 27 1 18 34,39,51,0,1,7,5 3 4 40 16 43 45 46 10 8,7 50 30 6 24 27 52 28 37 26,0,2,1
23 51 6 50 13 39 15 42 17 37,10 2 52 3 19 14 43 25 21 22,34,22,0,1,5,13 39 0 15 17 16 47 42 6 33,2 52 3 14 25 21 22 27 4 23,1,1,1
45 48 28 12 36 2 47 41 49 25,0 5 3 51 13 19 14 29 33 6,34,18,0,1,5,28 2 41 48 47 49 26 1 43 31,5 3 51 13 14 6 25 12 8 52,1,1,1
13 30 23 50 16 10 9 46 27 52,17 21 33 14 19 24 12 36 15 44,40,0,6,0,11,23 10 27 30 52 43 2 28 41 1,17 33 14 19 36 15 35 18 20 0,0,0,3
15 40 35 1 39 19 18 47 9 50,7 52 17 26 21 2 42 36 32 41,14,2,0,1,7,40 19 18 35 1 9 15 28 52 39,52 17 21 2 41 30 8 47 43 4,0,0,3
26 28 11 17 12 51 35 44 32 14,16 3 1 23 5 33 13 52 48 2,10,40,0,1,3,11 12 52 26 14 28 17 44 32 51,16 3 1 23 33 52 2 42 4 35,0,2,1
28 9 31 22 7 32 1 23 49 35,48 13 34 16 36 17 43 25 10 18,20,3,0,1,9,7 23 49 9 22 35 27 28 26 1,13 34 16 36 17 25 18 46 52 14,2,1,0
27 49 37 28 13 29 21 32 11 12,9 14 38 52 43 42 48 8 35 15,4,22,0,1,3,27 28 29 11 12 10 13 39 32 49,9 14 52 43 48 8 35 15 7 22,1,1,1
