init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
33 52 49 34 3 43 36 7 17 52,48 18 44 38 28 51 11 21 2 23,9,4,0,1,6,52 34 36 43 17 52 33 7 46 15,28 2 41 48 45 6 38 51 25 22,0,0,3
52 2 43 34 11 22 31 5 51 48,0 50 35 45 32 8 30 37 44 6,19,9,0,1,12,22 48 9 52 31 34 33 13 14 2,35 45 37 50 32 51 44 5 18 6,0,2,1
27 8 37 46 23 26 33 52 0 20,34 22 42 3 16 15 1 7 14 36,11,0,23,0,6,46 33 20 37 52 19 22 26 27 28,42 3 16 15 41 2 1 14 32 7,1,1,1
11 36 3 6 1 2 41 9 24 28,43 23 4 49 50 31 38 25 17 19,0,0,7,0,9,11 9 52 2 41 28 1 27 14 39,43 4 17 38 25 12 23 49 36 31,0,1,2
36 41 28 0 40 34 23 31 9 48,49 3 47 43 29 38 8 14 5 12,22,0,60,0,3,36 9 34 48 40 41 23 52 24 21,49 3 47 43 29 38 8 14 5 12,0,3,0
13 45 1 4 14 18 24 25 49 41,10 17 15 3 50 37 5 16 48 19,26,0,26,0,7,13 44 45 52 1 14 24 25 23 39,17 15 16 0 10 11 3 30 5 19,1,1,1
45 29 41 36 33 17 12 13 4 44,49 28 48 1 38 7 34 2 40 9,37,45,0,1,9,17 4 30 13 41 29 44 45 33 36,49 48 47 1 40 27 14 28 2 52,1,0,2
36 14 32 27 16 38 21 31 34 15,0 52 17 33 35 6 23 49 5 41,43,17,0,1,4,14 16 15 21 34 47 26 27 3 31,52 33 35 17 40 41 23 49 36 4,0,2,1
11 32 44 31 4 1 50 29 47 34,40 25 33 24 51 14 12 16 30 52,8,0,8,0,7,11 50 47 29 34 42 32 31 33 21,25 51 12 52 44 43 46 39 40 14,1,0,2
52 49 14 39 10 41 27 25 32 43,44 51 24 38 45 8 35 33 1 2,37,14,0,1,6,52 14 25 49 10 23 39 27 41 16,24 35 33 32 44 45 46 1 2 52,1,2,0
37 33 47 35 23 42 0 5 41 21,12 32 44 48 18 27 22 51 11 39,43,9,0,1,16,30 42 16 37 35 34 36 0 14 41,52 20 21 22 23 24 44 18 5 52,1,1,1
27 29 8 52 3 6 39 32 26 28,22 37 31 51 9 33 17 25 34 23,16,0,60,0,2,29 8 52 27 26 28 6 32 19 3,22 37 31 51 9 33 17 25 34 23,1,1,1
24 8 33 52 41 5 17 42 2 47,29 32 3 31 44 36 27 48 20 39,38,0,60,0,5,41 2 28 52 26 0 8 5 6 7,29 32 3 31 44 36 27 48 20 39,1,0,2
18 6 49 52 3 10 51 17 36 44,45 15 11 21 48 41 28 5 43 30,14,0,2,0,10,18 52 44 1 3 2 49 10 36 23,15 41 28 43 30 17 4 5 40 26,1,0,2
12 16 37 5 19 0 3 40 35 36,27 33 20 4 8 52 41 28 46 52,21,40,0,1,1,12 16 37 5 19 0 3 40 35 36,4 8 52 41 28 52 33 20 46 7,0,1,2
52 46 20 22 25 18 26 19 36 28,17 11 0 41 16 10 38 39 23 5,42,2,0,1,6,20 18 19 52 30 32 46 47 48 26,16 5 44 39 0 13 11 10 12 3,1,0,2
31 22 45 3 33 7 24 17 42 26,39 36 23 49 32 29 4 9 5 8,30,0,2,0,12,22 24 17 31 18 43 28 41 15 2,36 23 49 4 9 8 5 7 52 39,0,1,2
10 8 25 3 52 13 6 32 29 17,44 43 34 31 16 52 23 33 7 11,51,10,0,1,6,10 8 25 52 6 32 13 0 27 1,43 17 4 31 52 28 29 34 33 35,1,1,1
37 19 31 48 25 32 3 38 42 49,46 2 9 14 41 27 45 39 35 20,15,60,0,1,3,37 19 31 48 25 32 3 38 42 49,2 14 27 9 41 35 46 20 33 7,0,0,3
5 23 26 51 42 13 35 29 16 45,15 17 31 24 10 44 7 38 19 40,4,11,0,1,15,42 29 16 3 2 41 28 26 13 5,24 11 37 40 1 27 31 44 18 17,0,0,3
41 26 17 14 50 45 18 27 5 31,51 30 52 33 28 44 24 32 13 34,20,0,18,0,4,18 5 31 14 27 40 17 4 52 46,52 32 34 51 33 50 13 28 30 43,0,0,3
22 50 12 37 47 44 23 30 1 36,8 45 13 3 48 17 20 29 21 25,4,0,31,0,4,50 37 30 52 44 5 22 23 21 43,45 48 17 46 49 13 3 29 20 8,1,0,2
36 26 2 27 37 17 28 25 31 7,42 39 40 18 3 33 14 15 21 32,41,0,2,0,6,36 2 37 28 26 27 7 6 5 52,15 21 47 17 18 19 40 14 1 39,2,1,0
