game_id,user_id_1,user_id_2,user_id_3,user_id_4,user_id_5,user_id_6,settlement_time,winner_id,s_date,pkr,game_count_1,game_count_2,game_count_3,game_count_4,game_count_5,game_count_6
605613473,18112941.0,26520657.0,47294445.0,65680251.0,74712373.0,76257927.0,2021-06-21T00:01:43.786+05:30,74712373,21-06-2021,2,1,1,1,1,1,1
605610440,20829246.0,25783754.0,32558456.0,36857982.0,5055696.0,6789677.0,2021-06-21T00:01:44.011+05:30,25783754,21-06-2021,2,1,1,1,1,1,1
605619006,27819140.0,22861264.0,11253329.0,6953476.0,3442790.0,772712.0,2021-06-21T00:01:44.193+05:30,6953476,21-06-2021,1,1,1,1,1,1,1
605604671,34078463.0,34529510.0,36063741.0,77729188.0,34699863.0,42970703.0,2021-06-21T00:01:44.577+05:30,42970703,21-06-2021,1,1,1,1,1,1,1
605614534,22457065.0,31060966.0,32926919.0,6003957.0,6742156.0,76813182.0,2021-06-21T00:01:46.039+05:30,76813182,21-06-2021,2,1,1,1,1,1,1
605615519,16745378.0,23037078.0,54122067.0,57974444.0,65222442.0,8089855.0,2021-06-21T00:01:46.398+05:30,65222442,21-06-2021,2,1,1,1,1,1,1
605613132,12082863.0,22133856.0,24550387.0,34608676.0,7298638.0,77266855.0,2021-06-21T00:01:49.042+05:30,34608676,21-06-2021,2,1,1,1,1,1,1
605615341,2027755.0,25006409.0,2635704.0,30919298.0,7121036.0,76465553.0,2021-06-21T00:01:49.055+05:30,76465553,21-06-2021,2,1,1,1,1,1,1
605616048,34071517.0,6516499.0,7369558.0,75947214.0,76809262.0,9593923.0,2021-06-21T00:01:49.892+05:30,75947214,21-06-2021,2,1,1,1,1,1,1
605616330,11565695.0,38669332.0,52169431.0,63974474.0,75982457.0,76684272.0,2021-06-21T00:01:50.922+05:30,75982457,21-06-2021,2,1,1,1,1,1,1
605613504,20774404.0,26730091.0,44169849.0,66052698.0,66839333.0,886940.0,2021-06-21T00:01:51.821+05:30,44169849,21-06-2021,2,1,1,1,1,1,1
605616450,2140343.0,24098593.0,32121970.0,34483154.0,39768337.0,43381005.0,2021-06-21T00:01:52.081+05:30,32121970,21-06-2021,2,1,1,1,1,1,1
605614401,25542479.0,32186730.0,3281231.0,34390934.0,37287283.0,66792760.0,2021-06-21T00:01:55.079+05:30,37287283,21-06-2021,2,1,1,1,1,1,1
605615076,15126508.0,2526533.0,30356001.0,51073381.0,62086925.0,6845104.0,2021-06-21T00:01:56.976+05:30,51073381,21-06-2021,2,1,1,1,1,1,1
605609150,11106951.0,34258809.0,38040315.0,6727665.0,7264250.0,75855816.0,2021-06-21T00:01:57.42+05:30,75855816,21-06-2021,2,1,1,1,1,1,1
605615593,16674738.0,28118946.0,37523401.0,62731541.0,77875921.0,7805990.0,2021-06-21T00:01:57.902+05:30,16674738,21-06-2021,2,1,1,1,1,1,1
605618372,53733878.0,25346530.0,5250320.0,33769182.0,8490395.0,2156121.0,2021-06-21T00:02:02.641+05:30,8490395,21-06-2021,1,1,1,1,1,1,1
605612242,22738814.0,30934098.0,38298251.0,43786257.0,44734742.0,62592117.0,2021-06-21T00:02:02.995+05:30,43786257,21-06-2021,2,1,1,1,1,1,1
605610864,12311673.0,18672165.0,23170854.0,3095289.0,77175433.0,77425906.0,2021-06-21T00:02:04.465+05:30,18672165,21-06-2021,2,1,1,1,1,1,1
605613701,16046959.0,21935887.0,22471675.0,34826729.0,8928947.0,9037296.0,2021-06-21T00:02:05.83+05:30,22471675,21-06-2021,2,1,1,1,1,1,1
605612606,12980019.0,15075519.0,34112732.0,44330501.0,45370723.0,8974271.0,2021-06-21T00:02:07.142+05:30,45370723,21-06-2021,2,1,1,1,1,1,1
605614087,10858988.0,17431697.0,27137817.0,69229041.0,7517710.0,76085780.0,2021-06-21T00:02:08.814+05:30,76085780,21-06-2021,2,1,1,1,1,1,1
605610885,22664466.0,36132843.0,5656165.0,5744240.0,6995882.0,7306749.0,2021-06-21T00:02:11.302+05:30,7306749,21-06-2021,2,1,1,1,1,1,1
605618943,62616328.0,40946859.0,24021192.0,30324049.0,8800057.0,57579305.0,2021-06-21T00:02:12.605+05:30,30324049,21-06-2021,1,1,1,1,1,1,1
605612894,24319027.0,36056939.0,36262149.0,4821238.0,61987400.0,70183865.0,2021-06-21T00:02:13.222+05:30,24319027,21-06-2021,2,1,1,1,1,1,1
605612083,23570953.0,35232280.0,37510343.0,5293434.0,60141103.0,63868001.0,2021-06-21T00:02:14.445+05:30,60141103,21-06-2021,2,1,1,1,1,1,1
605613397,295181.0,34682521.0,35102095.0,3888519.0,72314727.0,77865144.0,2021-06-21T00:02:14.594+05:30,34682521,21-06-2021,2,1,1,1,1,1,1
605613369,15325259.0,20393944.0,28536146.0,42163529.0,5916568.0,65821370.0,2021-06-21T00:02:17.781+05:30,65821370,21-06-2021,2,1,2,1,1,1,1
605610085,10516218.0,36777378.0,56814776.0,5799617.0,65026900.0,6851781.0,2021-06-21T00:02:18.445+05:30,56814776,21-06-2021,2,1,1,1,1,1,1
605618173,32257032.0,42226476.0,2308206.0,14695173.0,21721750.0,25346530.0,2021-06-21T00:02:21.13+05:30,32257032,21-06-2021,1,1,1,1,1,1,2
605611769,29158779.0,41564157.0,5575442.0,68650595.0,7195034.0,77866905.0,2021-06-21T00:02:22.806+05:30,29158779,21-06-2021,2,1,1,1,1,1,1
605614168,10944123.0,11777475.0,18479189.0,40311261.0,77840126.0,9869121.0,2021-06-21T00:02:23.992+05:30,77840126,21-06-2021,2,1,1,1,1,1,1
605612928,3965391.0,45657261.0,29812051.0,44971865.0,5473588.0,37091718.0,2021-06-21T00:02:24.364+05:30,44971865,21-06-2021,1,1,1,1,1,1,1
605612830,19942283.0,34791105.0,44682751.0,76645586.0,77364284.0,98790.0,2021-06-21T00:02:25.892+05:30,76645586,21-06-2021,2,1,1,1,1,1,1
605610420,2270946.0,25800031.0,37650640.0,65260713.0,69334937.0,8730299.0,2021-06-21T00:02:26.251+05:30,2270946,21-06-2021,2,1,1,1,1,1,1
605614594,29173844.0,37336254.0,40093068.0,40804693.0,74656797.0,9086823.0,2021-06-21T00:02:27.993+05:30,29173844,21-06-2021,2,1,1,1,1,1,1
605611812,35308697.0,64089171.0,67353034.0,75789610.0,76552059.0,8290646.0,2021-06-21T00:02:30.053+05:30,67353034,21-06-2021,2,1,1,1,1,1,1
605614240,31776203.0,44039035.0,63226023.0,7311390.0,8364904.0,8548421.0,2021-06-21T00:02:30.698+05:30,8364904,21-06-2021,2,1,1,1,1,1,1
605614179,12932341.0,1502468.0,30484865.0,31323112.0,7409486.0,7876428.0,2021-06-21T00:02:31.137+05:30,1502468,21-06-2021,2,2,1,1,1,1,2
605613162,32376193.0,41640221.0,43413606.0,65173290.0,71366383.0,76773351.0,2021-06-21T00:02:31.662+05:30,76773351,21-06-2021,2,1,1,1,1,1,1
605613759,76296897.0,41360575.0,37860850.0,19134870.0,30886408.0,17521818.0,2021-06-21T00:02:33.959+05:30,37860850,21-06-2021,1,1,1,1,1,1,1
605614172,15412564.0,17444473.0,36657801.0,64724232.0,65752324.0,76614320.0,2021-06-21T00:02:34.251+05:30,17444473,21-06-2021,2,1,1,1,1,1,1
605613814,28186871.0,34091630.0,53553517.0,31060221.0,59997422.0,11102768.0,2021-06-21T00:02:34.836+05:30,28186871,21-06-2021,3,1,1,1,1,1,1
605616308,24263271.0,35307500.0,37087690.0,38400456.0,45490646.0,77681416.0,2021-06-21T00:02:36.291+05:30,45490646,21-06-2021,2,1,1,1,1,1,1
605613999,15563337.0,16959855.0,23367353.0,23851318.0,56521888.0,77629369.0,2021-06-21T00:02:36.302+05:30,56521888,21-06-2021,2,1,1,1,1,1,1
605614264,36999897.0,60279610.0,6461910.0,73535651.0,76814756.0,77724140.0,2021-06-21T00:02:36.315+05:30,36999897,21-06-2021,2,1,1,1,1,1,1
605611115,54789100.0,36362028.0,64729465.0,25192127.0,44092084.0,4837829.0,2021-06-21T00:02:37.41+05:30,54789100,21-06-2021,3,1,1,1,2,1,1
605594457,56712647.0,28513212.0,75217029.0,37129711.0,36318444.0,66853251.0,2021-06-21T00:02:38.295+05:30,75217029,21-06-2021,1,1,1,1,1,1,1
605615193,19536555.0,28695982.0,34772861.0,38501864.0,69218469.0,73349007.0,2021-06-21T00:02:38.852+05:30,73349007,21-06-2021,2,1,1,2,1,1,1
