init.score1,init.score2,Strategy 1,Strategy 2,P1 Score,P2 Score,Winner_ID
32,16,mcts-0,mcts-25,0,32,0
13,21,mcts-0,mcts-25,0,50,0
19,60,mcts-0,mcts-25,0,55,0
42,60,mcts-0,mcts-25,0,29,0
23,51,mcts-0,mcts-25,0,5,0
23,53,mcts-0,mcts-25,0,60,0
60,28,mcts-0,mcts-25,0,5,0
60,23,mcts-0,mcts-25,21,0,1
58,24,mcts-0,mcts-25,60,0,1
23,29,mcts-0,mcts-25,13,0,1
43,29,mcts-0,mcts-25,8,0,1
23,40,mcts-0,mcts-25,3,0,1
25,60,mcts-0,mcts-25,18,0,1
60,27,mcts-0,mcts-25,41,0,1
45,25,mcts-0,mcts-25,2,26,0
22,43,mcts-0,mcts-25,0,6,0
19,60,mcts-0,mcts-25,24,0,1
27,39,mcts-0,mcts-25,3,0,1
44,38,mcts-0,mcts-25,50,0,1
43,60,mcts-0,mcts-25,0,4,0
49,49,mcts-0,mcts-25,0,6,0
47,37,mcts-0,mcts-25,0,11,0
52,24,mcts-0,mcts-25,60,0,1
40,37,mcts-0,mcts-25,2,0,1
18,60,mcts-0,mcts-25,0,27,0
44,34,mcts-0,mcts-25,45,0,1
20,0,mcts-0,mcts-25,0,0,0
19,21,mcts-0,mcts-25,32,0,1
47,25,mcts-0,mcts-25,5,0,1
10,60,mcts-0,mcts-25,0,60,0
27,17,mcts-0,mcts-25,2,0,1
13,54,mcts-0,mcts-25,0,2,0
47,49,mcts-0,mcts-25,0,38,0
25,60,mcts-0,mcts-25,0,13,0
58,42,mcts-0,mcts-25,11,0,1
15,28,mcts-0,mcts-25,23,0,1
43,41,mcts-0,mcts-25,15,0,1
2,43,mcts-0,mcts-25,0,60,0
7,21,mcts-0,mcts-25,0,10,0
28,14,mcts-0,mcts-25,9,0,1
38,36,mcts-0,mcts-25,0,60,0
17,27,mcts-0,mcts-25,0,3,0
60,53,mcts-0,mcts-25,2,0,1
40,44,mcts-0,mcts-25,36,0,1
60,32,mcts-0,mcts-25,0,18,0
45,60,mcts-0,mcts-25,0,30,0
18,14,mcts-0,mcts-25,2,0,1
15,33,mcts-0,mcts-25,45,0,1
49,34,mcts-0,mcts-25,51,0,1
42,32,mcts-0,mcts-25,0,10,0
60,42,mcts-0,mcts-25,9,0,1
27,24,mcts-0,mcts-25,42,0,1
42,10,mcts-0,mcts-25,33,0,1
44,60,mcts-0,mcts-25,2,0,1
43,60,mcts-0,mcts-25,0,50,0
60,39,mcts-0,mcts-25,60,0,1
55,34,mcts-0,mcts-25,0,27,0
30,54,mcts-0,mcts-25,0,4,0
40,53,mcts-0,mcts-25,0,10,0
51,60,mcts-0,mcts-25,3,0,1
54,18,mcts-0,mcts-25,60,0,1
37,60,mcts-0,mcts-25,0,12,0
37,42,mcts-0,mcts-25,2,0,1
60,28,mcts-0,mcts-25,10,0,1
53,25,mcts-0,mcts-25,13,5,1
46,41,mcts-0,mcts-25,20,0,1
25,60,mcts-0,mcts-25,0,15,0
60,34,mcts-0,mcts-25,3,0,1
60,26,mcts-0,mcts-25,18,0,1
25,60,mcts-0,mcts-25,0,22,0
52,60,mcts-0,mcts-25,9,0,1
60,38,mcts-0,mcts-25,0,2,0
49,12,mcts-0,mcts-25,13,0,1
60,54,mcts-0,mcts-25,32,0,1
10,56,mcts-0,mcts-25,0,40,0
28,43,mcts-0,mcts-25,5,0,1
20,11,mcts-0,mcts-25,19,60,0
10,27,mcts-0,mcts-25,0,21,0
26,54,mcts-0,mcts-25,0,38,0
60,50,mcts-0,mcts-25,39,21,1
28,57,mcts-0,mcts-25,0,20,0
45,28,mcts-0,mcts-25,0,18,0
26,24,mcts-0,mcts-25,0,46,0
33,25,mcts-0,mcts-25,0,8,0
43,60,mcts-0,mcts-25,0,13,0
3,48,mcts-0,mcts-25,0,60,0
60,60,mcts-0,mcts-25,0,10,0
53,54,mcts-0,mcts-25,0,60,0
51,47,mcts-0,mcts-25,0,19,0
52,29,mcts-0,mcts-25,2,60,0
30,32,mcts-0,mcts-25,0,2,0
40,17,mcts-0,mcts-25,0,25,0
45,19,mcts-0,mcts-25,15,0,1
17,47,mcts-0,mcts-25,2,0,1
40,56,mcts-0,mcts-25,60,2,1
35,4,mcts-0,mcts-25,11,0,1
44,27,mcts-0,mcts-25,12,0,1
60,19,mcts-0,mcts-25,60,0,1
15,40,mcts-0,mcts-25,0,33,0
36,60,mcts-0,mcts-25,0,46,0
20,60,mcts-0,mcts-25,0,26,0
46,20,mcts-0,mcts-25,37,0,1
54,41,mcts-0,mcts-25,3,0,1
60,16,mcts-0,mcts-25,18,0,1
16,54,mcts-0,mcts-25,0,60,0
60,28,mcts-0,mcts-25,7,0,1
44,33,mcts-0,mcts-25,42,4,1
45,29,mcts-0,mcts-25,0,56,0
48,30,mcts-0,mcts-25,33,0,1
54,12,mcts-0,mcts-25,60,0,1
45,60,mcts-0,mcts-25,42,0,1
51,41,mcts-0,mcts-25,0,3,0
41,49,mcts-0,mcts-25,13,0,1
56,28,mcts-0,mcts-25,36,0,1
33,47,mcts-0,mcts-25,0,10,0
45,46,mcts-0,mcts-25,7,0,1
36,49,mcts-0,mcts-25,2,0,1
32,35,mcts-0,mcts-25,0,3,0
28,24,mcts-0,mcts-25,60,0,1
38,27,mcts-0,mcts-25,0,3,0
60,60,mcts-0,mcts-25,58,0,1
51,53,mcts-0,mcts-25,51,0,1
59,33,mcts-0,mcts-25,4,0,1
10,60,mcts-0,mcts-25,4,0,1
58,39,mcts-0,mcts-25,3,0,1
27,26,mcts-0,mcts-25,0,54,0
59,40,mcts-0,mcts-25,0,2,0
41,9,mcts-0,mcts-25,10,0,1
60,12,mcts-0,mcts-25,50,0,1
