"","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID"
"198","DefeatHeuristic","Mindist",60,0,1
"199","DefeatHeuristic","Mindist",60,0,1
"200","DefeatHeuristic","Mindist",60,0,1
"201","DefeatHeuristic","Mindist",60,0,1
"202","DefeatHeuristic","Mindist",60,0,1
"203","DefeatHeuristic","Mindist",60,0,1
"204","DefeatHeuristic","Mindist",60,0,1
"205","DefeatHeuristic","Mindist",60,0,1
"206","DefeatHeuristic","Mindist",60,0,1
"207","DefeatHeuristic","Mindist",43,0,1
"208","DefeatHeuristic","Mindist",60,0,1
"209","DefeatHeuristic","Mindist",60,0,1
"210","DefeatHeuristic","Mindist",60,0,1
"211","DefeatHeuristic","Mindist",60,0,1
"212","DefeatHeuristic","Mindist",60,0,1
"213","DefeatHeuristic","Mindist",60,0,1
"214","DefeatHeuristic","Mindist",60,0,1
"215","DefeatHeuristic","Mindist",60,0,1
"216","DefeatHeuristic","Mindist",60,0,1
"217","DefeatHeuristic","Mindist",54,0,1
"218","DefeatHeuristic","Mindist",56,0,1
"219","DefeatHeuristic","Mindist",60,0,1
"220","DefeatHeuristic","Mindist",60,0,1
"221","DefeatHeuristic","Mindist",60,0,1
"222","DefeatHeuristic","Mindist",60,0,1
"223","DefeatHeuristic","Mindist",60,0,1
"224","DefeatHeuristic","Mindist",60,0,1
"225","DefeatHeuristic","Mindist",60,0,1
"226","DefeatHeuristic","Mindist",60,0,1
"227","DefeatHeuristic","Mindist",60,0,1
"228","DefeatHeuristic","Mindist",60,0,1
"229","DefeatHeuristic","Mindist",60,0,1
"230","DefeatHeuristic","Mindist",60,0,1
"231","DefeatHeuristic","Mindist",60,0,1
"232","DefeatHeuristic","Mindist",60,0,1
"233","DefeatHeuristic","Mindist",60,0,1
"234","DefeatHeuristic","Mindist",48,0,1
"235","DefeatHeuristic","Mindist",60,0,1
"236","DefeatHeuristic","Mindist",60,0,1
"237","DefeatHeuristic","Mindist",59,0,1
"238","DefeatHeuristic","Mindist",60,0,1
"239","DefeatHeuristic","Mindist",60,0,1
"240","DefeatHeuristic","Mindist",60,0,1
"241","DefeatHeuristic","Mindist",60,0,1
"242","DefeatHeuristic","Mindist",60,0,1
"243","DefeatHeuristic","Mindist",60,0,1
"244","DefeatHeuristic","Mindist",60,0,1
