"","...1","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID","P1_rating","P2_rating","Avg Change in Ratings","Avg Change in Ratings without score modifications"
"4790",34,"MCTS-0","MCTS-25",21,0,1,996,1007,3,5
"4791",5750,"MCTS-50","MCTS-25",11,0,1,970,1009,2,4
"4792",5284,"MCTS-50","MCTS-25",0,5,0,971,1008,1,6
"4793",404,"MCTS-0","MCTS-25",2,0,1,996,1008,0,5
"4794",5747,"MCTS-50","MCTS-25",0,5,0,972,1007,1,6
"4795",1029,"MCTS-0","MCTS-50",0,59,0,1005,963,9,5
"4796",3083,"MCTS-25","MCTS-50",60,0,1,996,974,11,6
"4797",5068,"MCTS-50","MCTS-25",0,60,0,985,985,11,5
"4798",5812,"MCTS-50","MCTS-25",4,0,1,984,986,1,5
"4799",4528,"MCTS-50","MCTS-0",60,0,1,975,1014,9,5
"4800",1609,"MCTS-0","MCTS-50",17,0,1,1011,978,3,6
"4801",2660,"MCTS-25","MCTS-0",0,55,0,996,1001,10,5
"4802",602,"MCTS-0","MCTS-25",6,0,1,1000,997,1,5
"4803",134,"MCTS-0","MCTS-25",3,0,1,999,998,1,5
"4804",3287,"MCTS-25","MCTS-50",3,0,1,997,979,1,5
"4805",1599,"MCTS-0","MCTS-50",53,0,1,990,988,9,5
"4806",4349,"MCTS-50","MCTS-0",0,60,0,998,980,10,5
"4807",3371,"MCTS-25","MCTS-50",42,0,1,990,1005,7,5
"4808",5631,"MCTS-50","MCTS-25",0,3,0,1005,990,0,5
"4809",5483,"MCTS-50","MCTS-25",0,30,0,1010,985,5,5
"4810",5374,"MCTS-50","MCTS-25",0,2,0,1010,985,0,5
"4811",2453,"MCTS-25","MCTS-0",0,2,0,985,980,0,5
"4812",2867,"MCTS-25","MCTS-0",0,5,0,986,979,1,5
"4813",3086,"MCTS-25","MCTS-50",0,60,0,997,999,11,5
"4814",1913,"MCTS-0","MCTS-50",11,10,1,979,999,0,5
"4815",5381,"MCTS-50","MCTS-25",25,0,1,995,1001,4,5
"4816",1263,"MCTS-0","MCTS-50",40,0,1,973,1001,6,5
"4817",2518,"MCTS-25","MCTS-0",13,0,1,999,975,2,5
"4818",116,"MCTS-0","MCTS-25",0,9,0,977,997,2,5
"4819",1033,"MCTS-0","MCTS-50",33,0,1,972,1006,5,5
"4820",1841,"MCTS-0","MCTS-50",0,10,0,974,1004,2,5
"4821",4707,"MCTS-50","MCTS-0",0,57,0,1013,965,9,5
"4822",5999,"MCTS-50","MCTS-25",0,2,0,1013,997,0,5
"4823",4408,"MCTS-50","MCTS-0",2,0,1,1013,965,0,6
