"","X","Strategy.1","Strategy.2","P1.Score","P2.Score","Winner_ID","P1_rating","P2_rating","Avg Change in Ratings","Avg Change in Ratings without score modifications"
"4245",4245,"Mindist+Opp","MCTS-25",0,19,0,1154,1016,2,3
"3655",3655,"Mindist+Opp","MCTS-10",0,31,0,1156,898,2,2
"1601",1601,"MCTS-25","Mindist+Opp",15,0,1,1014,1158,2,3
"530",530,"MCTS-10","Mindist+Opp",2,0,1,898,1158,0,2
"694",694,"MCTS-10","Mindist+Opp",15,0,1,897,1159,1,2
"4307",4307,"Mindist+Opp","MCTS-25",0,2,0,1159,1014,0,3
"1232",1232,"MCTS-25","Mindist+Opp",0,23,0,1019,1154,5,7
"1920",1920,"MCTS-25","Mindist+Opp",0,21,0,1024,1149,5,7
"3668",3668,"Mindist+Opp","MCTS-10",24,0,1,1143,903,6,8
"5700",5700,"Mindist+Opp","MCTS-50",27,0,1,1136,929,7,8
"2122",2122,"MCTS-50","Mindist+Opp",22,0,1,927,1138,2,2
"5496",5496,"Mindist+Opp","MCTS-50",0,47,0,1142,923,4,2
"4004",4004,"Mindist+Opp","MCTS-25",0,39,0,1146,1020,4,3
"1703",1703,"MCTS-25","Mindist+Opp",21,0,1,1018,1148,2,3
"333",333,"MCTS-10","Mindist+Opp",0,19,0,908,1143,5,8
"4646",4646,"Mindist+Opp","MCTS-25",0,42,0,1148,1013,5,3
"3418",3418,"Mindist+Opp","MCTS-10",0,46,0,1151,905,3,2
"989",989,"MCTS-10","Mindist+Opp",0,23,0,911,1145,6,8
"1701",1701,"MCTS-25","Mindist+Opp",28,0,1,1010,1148,3,3
"5933",5933,"Mindist+Opp","MCTS-50",0,51,0,1152,919,4,2
"4527",4527,"Mindist+Opp","MCTS-25",0,18,0,1154,1008,2,3
"5713",5713,"Mindist+Opp","MCTS-50",0,19,0,1155,918,1,2
"5960",5960,"Mindist+Opp","MCTS-50",0,10,0,1156,917,1,2
"2801",2801,"MCTS-50","Mindist+Opp",2,0,1,917,1156,0,2
"3680",3680,"Mindist+Opp","MCTS-10",0,31,0,1158,909,2,2
"3381",3381,"Mindist+Opp","MCTS-10",0,7,0,1158,909,0,2
"1165",1165,"MCTS-25","Mindist+Opp",12,0,1,1007,1159,1,3
"3275",3275,"Mindist+Opp","MCTS-10",0,5,0,1159,909,0,2
"2404",2404,"MCTS-50","Mindist+Opp",20,0,1,916,1160,1,2
"382",382,"MCTS-10","Mindist+Opp",4,0,1,909,1160,0,2
"2814",2814,"MCTS-50","Mindist+Opp",29,0,1,914,1162,2,2
"2532",2532,"MCTS-50","Mindist+Opp",23,0,1,913,1163,1,2
"3008",3008,"Mindist+Opp","MCTS-10",16,0,1,1159,913,4,8
"302",302,"MCTS-10","Mindist+Opp",28,0,1,911,1161,2,2
"4822",4822,"Mindist+Opp","MCTS-25",0,2,0,1161,1007,0,3
"2856",2856,"MCTS-50","Mindist+Opp",0,36,0,923,1151,10,8
"5862",5862,"Mindist+Opp","MCTS-50",0,10,0,1152,922,1,2
"3192",3192,"Mindist+Opp","MCTS-10",0,24,0,1154,909,2,2
"4529",4529,"Mindist+Opp","MCTS-25",0,50,0,1159,1002,5,3
"1219",1219,"MCTS-25","Mindist+Opp",0,44,0,1012,1149,10,7
"4954",4954,"Mindist+Opp","MCTS-25",0,18,0,1151,1010,2,3
"5197",5197,"Mindist+Opp","MCTS-50",0,6,0,1151,922,0,2
"1351",1351,"MCTS-25","Mindist+Opp",17,0,1,1008,1153,2,3
"440",440,"MCTS-10","Mindist+Opp",0,16,0,913,1149,4,8
"1905",1905,"MCTS-25","Mindist+Opp",18,0,1,1006,1151,2,3
"5546",5546,"Mindist+Opp","MCTS-50",23,0,1,1145,928,6,8
"2683",2683,"MCTS-50","Mindist+Opp",21,0,1,926,1147,2,2
"4712",4712,"Mindist+Opp","MCTS-25",0,20,0,1149,1004,2,3
"4156",4156,"Mindist+Opp","MCTS-25",10,0,1,1147,1006,2,7
"1446",1446,"MCTS-25","Mindist+Opp",10,0,1,1005,1148,1,3
"5633",5633,"Mindist+Opp","MCTS-50",0,21,0,1150,924,2,2
"2196",2196,"MCTS-50","Mindist+Opp",0,26,0,931,1143,7,8
"5161",5161,"Mindist+Opp","MCTS-50",0,19,0,1144,930,1,2
"4092",4092,"Mindist+Opp","MCTS-25",0,3,0,1144,1005,0,3
"3439",3439,"Mindist+Opp","MCTS-10",15,0,1,1140,917,4,8
"1341",1341,"MCTS-25","Mindist+Opp",28,0,1,1002,1143,3,3
"5984",5984,"Mindist+Opp","MCTS-50",30,0,1,1135,938,8,8
"2063",2063,"MCTS-50","Mindist+Opp",60,0,1,933,1140,5,2
"1588",1588,"MCTS-25","Mindist+Opp",10,0,1,1001,1141,1,3
"1465",1465,"MCTS-25","Mindist+Opp",0,18,0,1005,1137,4,7
"5699",5699,"Mindist+Opp","MCTS-50",0,18,0,1138,932,1,2
"4291",4291,"Mindist+Opp","MCTS-25",0,16,0,1140,1003,2,3
"5461",5461,"Mindist+Opp","MCTS-50",25,0,1,1134,938,6,8
"2133",2133,"MCTS-50","Mindist+Opp",5,0,1,938,1134,0,2
"3397",3397,"Mindist+Opp","MCTS-10",0,60,0,1138,913,4,2
"1002",1002,"MCTS-25","Mindist+Opp",13,0,1,1002,1139,1,3
"798",798,"MCTS-10","Mindist+Opp",60,0,1,909,1143,4,2
"1212",1212,"MCTS-25","Mindist+Opp",22,0,1,1000,1145,2,3
"297",297,"MCTS-10","Mindist+Opp",0,17,0,914,1140,5,8
"1797",1797,"MCTS-25","Mindist+Opp",60,0,1,994,1146,6,3
"4146",4146,"Mindist+Opp","MCTS-25",28,0,1,1139,1001,7,7
"353",353,"MCTS-10","Mindist+Opp",0,39,0,924,1129,10,8
"5180",5180,"Mindist+Opp","MCTS-50",0,37,0,1132,935,3,2
"4368",4368,"Mindist+Opp","MCTS-25",0,22,0,1134,999,2,3
"5104",5104,"Mindist+Opp","MCTS-50",0,21,0,1136,933,2,2
"1384",1384,"MCTS-25","Mindist+Opp",16,0,1,997,1138,2,3
"3962",3962,"Mindist+Opp","MCTS-10",9,0,1,1136,926,2,8
"96",96,"MCTS-10","Mindist+Opp",47,0,1,922,1140,4,2
