"","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID"
"166","MCTS-10","Mindist+Opp",0,42,0
"167","MCTS-10","Mindist+Opp",18,0,1
"168","MCTS-10","Mindist+Opp",12,0,1
"169","MCTS-10","Mindist+Opp",34,0,1
"170","MCTS-10","Mindist+Opp",22,0,1
"171","MCTS-10","Mindist+Opp",15,0,1
"172","MCTS-10","Mindist+Opp",19,0,1
"173","MCTS-10","Mindist+Opp",21,0,1
"174","MCTS-10","Mindist+Opp",17,0,1
"175","MCTS-10","Mindist+Opp",45,0,1
"176","MCTS-10","Mindist+Opp",56,0,1
"177","MCTS-10","Mindist+Opp",2,0,1
"178","MCTS-10","Mindist+Opp",17,0,1
"179","MCTS-10","Mindist+Opp",12,0,1
"180","MCTS-10","Mindist+Opp",2,0,1
"181","MCTS-10","Mindist+Opp",25,0,1
"182","MCTS-10","Mindist+Opp",35,0,1
"183","MCTS-10","Mindist+Opp",41,0,1
"184","MCTS-10","Mindist+Opp",20,0,1
"185","MCTS-10","Mindist+Opp",39,0,1
"186","MCTS-10","Mindist+Opp",0,35,0
"187","MCTS-10","Mindist+Opp",8,0,1
"188","MCTS-10","Mindist+Opp",23,0,1
"189","MCTS-10","Mindist+Opp",0,17,0
"190","MCTS-10","Mindist+Opp",0,34,0
"191","MCTS-10","Mindist+Opp",58,0,1
"192","MCTS-10","Mindist+Opp",3,0,1
"193","MCTS-10","Mindist+Opp",0,48,0
"194","MCTS-10","Mindist+Opp",0,3,0
"195","MCTS-10","Mindist+Opp",18,0,1
"196","MCTS-10","Mindist+Opp",44,0,1
"197","MCTS-10","Mindist+Opp",19,0,1
"198","MCTS-10","Mindist+Opp",60,0,1
"199","MCTS-10","Mindist+Opp",0,17,0
"200","MCTS-10","Mindist+Opp",16,0,1
"201","MCTS-10","Mindist+Opp",25,0,1
"202","MCTS-10","Mindist+Opp",28,0,1
"203","MCTS-10","Mindist+Opp",15,0,1
"204","MCTS-10","Mindist+Opp",39,0,1
"205","MCTS-10","Mindist+Opp",45,0,1
"206","MCTS-10","Mindist+Opp",20,0,1
"207","MCTS-10","Mindist+Opp",59,0,1
"208","MCTS-10","Mindist+Opp",0,2,0
"209","MCTS-10","Mindist+Opp",0,14,0
"210","MCTS-10","Mindist+Opp",22,0,1
"211","MCTS-10","Mindist+Opp",45,0,1
"212","MCTS-10","Mindist+Opp",17,0,1
"213","MCTS-10","Mindist+Opp",2,0,1
"214","MCTS-10","Mindist+Opp",19,0,1
"215","MCTS-10","Mindist+Opp",0,60,0
"216","MCTS-10","Mindist+Opp",17,0,1
"217","MCTS-10","Mindist+Opp",0,30,0
"218","MCTS-10","Mindist+Opp",3,0,1
"219","MCTS-10","Mindist+Opp",45,0,1
"220","MCTS-10","Mindist+Opp",0,2,0
"221","MCTS-10","Mindist+Opp",0,20,0
"222","MCTS-10","Mindist+Opp",0,22,0
"223","MCTS-10","Mindist+Opp",0,17,0
"224","MCTS-10","Mindist+Opp",60,0,1
"225","MCTS-10","Mindist+Opp",13,0,1
"226","MCTS-10","Mindist+Opp",27,0,1
"227","MCTS-10","Mindist+Opp",36,0,1
"228","MCTS-10","Mindist+Opp",35,0,1
"229","MCTS-10","Mindist+Opp",60,0,1
"230","MCTS-10","Mindist+Opp",12,0,1
"231","MCTS-10","Mindist+Opp",0,53,0
"232","MCTS-10","Mindist+Opp",38,0,1
"233","MCTS-10","Mindist+Opp",46,0,1
"234","MCTS-10","Mindist+Opp",10,0,1
"235","MCTS-10","Mindist+Opp",6,0,1
"236","MCTS-10","Mindist+Opp",0,50,0
"237","MCTS-10","Mindist+Opp",41,0,1
"238","MCTS-10","Mindist+Opp",0,17,0
"239","MCTS-10","Mindist+Opp",39,0,1
"240","MCTS-10","Mindist+Opp",13,0,1
"241","MCTS-10","Mindist+Opp",0,28,0
"242","MCTS-10","Mindist+Opp",19,0,1
"243","MCTS-10","Mindist+Opp",0,50,0
"244","MCTS-10","Mindist+Opp",55,0,1
"245","MCTS-10","Mindist+Opp",0,22,0
"246","MCTS-10","Mindist+Opp",22,0,1
"247","MCTS-10","Mindist+Opp",2,0,1
"248","MCTS-10","Mindist+Opp",9,0,1
"249","MCTS-10","Mindist+Opp",0,38,0
"250","MCTS-10","Mindist+Opp",0,18,0
"251","MCTS-10","Mindist+Opp",60,0,1
"252","MCTS-10","Mindist+Opp",3,0,1
"253","MCTS-10","Mindist+Opp",39,0,1
"254","MCTS-10","Mindist+Opp",43,0,1
"255","MCTS-10","Mindist+Opp",40,0,1
"256","MCTS-10","Mindist+Opp",2,0,1
"257","MCTS-10","Mindist+Opp",46,0,1
"258","MCTS-10","Mindist+Opp",0,10,0
"259","MCTS-10","Mindist+Opp",19,0,1
"260","MCTS-10","Mindist+Opp",17,0,1
"261","MCTS-10","Mindist+Opp",2,0,1
"262","MCTS-10","Mindist+Opp",12,0,1
"263","MCTS-10","Mindist+Opp",0,30,0
"264","MCTS-10","Mindist+Opp",52,0,1
"265","MCTS-10","Mindist+Opp",2,0,1
"266","MCTS-10","Mindist+Opp",9,0,1
"267","MCTS-10","Mindist+Opp",0,45,0
"268","MCTS-10","Mindist+Opp",40,0,1
"269","MCTS-10","Mindist+Opp",0,22,0
"270","MCTS-10","Mindist+Opp",16,0,1
"271","MCTS-10","Mindist+Opp",12,0,1
"272","MCTS-10","Mindist+Opp",3,0,1
"273","MCTS-10","Mindist+Opp",0,3,0
"274","MCTS-10","Mindist+Opp",0,57,0
"275","MCTS-10","Mindist+Opp",43,0,1
"276","MCTS-10","Mindist+Opp",0,29,0
"277","MCTS-10","Mindist+Opp",43,0,1
"278","MCTS-10","Mindist+Opp",0,30,0
"279","MCTS-10","Mindist+Opp",8,0,1
"280","MCTS-10","Mindist+Opp",20,0,1
"281","MCTS-10","Mindist+Opp",23,0,1
"282","MCTS-10","Mindist+Opp",0,12,0
"283","MCTS-10","Mindist+Opp",19,0,1
"284","MCTS-10","Mindist+Opp",29,0,1
"285","MCTS-10","Mindist+Opp",20,0,1
"286","MCTS-10","Mindist+Opp",19,0,1
"287","MCTS-10","Mindist+Opp",40,0,1
"288","MCTS-10","Mindist+Opp",0,51,0
"289","MCTS-10","Mindist+Opp",20,0,1
"290","MCTS-10","Mindist+Opp",41,0,1
"291","MCTS-10","Mindist+Opp",2,0,1
"292","MCTS-10","Mindist+Opp",5,0,1
"293","MCTS-10","Mindist+Opp",48,0,1
"294","MCTS-10","Mindist+Opp",3,0,1
"295","MCTS-10","Mindist+Opp",33,0,1
"296","MCTS-10","Mindist+Opp",34,0,1
"297","MCTS-10","Mindist+Opp",0,17,0
"298","MCTS-10","Mindist+Opp",0,26,0
"299","MCTS-10","Mindist+Opp",39,0,1
"300","MCTS-10","Mindist+Opp",3,0,1
"301","MCTS-10","Mindist+Opp",2,0,1
"302","MCTS-10","Mindist+Opp",28,0,1
"303","MCTS-10","Mindist+Opp",0,24,0
"304","MCTS-10","Mindist+Opp",12,0,1
"305","MCTS-10","Mindist+Opp",32,0,1
"306","MCTS-10","Mindist+Opp",21,0,1
"307","MCTS-10","Mindist+Opp",0,13,0
"308","MCTS-10","Mindist+Opp",46,0,1
"309","MCTS-10","Mindist+Opp",16,0,1
"310","MCTS-10","Mindist+Opp",10,0,1
"311","MCTS-10","Mindist+Opp",2,0,1
"312","MCTS-10","Mindist+Opp",32,0,1
"313","MCTS-10","Mindist+Opp",0,22,0
"314","MCTS-10","Mindist+Opp",19,0,1
"315","MCTS-10","Mindist+Opp",23,0,1
"316","MCTS-10","Mindist+Opp",7,0,1
"317","MCTS-10","Mindist+Opp",60,0,1
"318","MCTS-10","Mindist+Opp",7,0,1
"319","MCTS-10","Mindist+Opp",2,0,1
"320","MCTS-10","Mindist+Opp",15,0,1
"321","MCTS-10","Mindist+Opp",60,0,1
"322","MCTS-10","Mindist+Opp",2,0,1
"323","MCTS-10","Mindist+Opp",47,0,1
"324","MCTS-10","Mindist+Opp",60,0,1
"325","MCTS-10","Mindist+Opp",0,18,0
"326","MCTS-10","Mindist+Opp",0,60,0
"327","MCTS-10","Mindist+Opp",60,0,1
"328","MCTS-10","Mindist+Opp",2,0,1
"329","MCTS-10","Mindist+Opp",0,60,0
"330","MCTS-10","Mindist+Opp",2,0,1
"331","MCTS-10","Mindist+Opp",3,0,1
"332","MCTS-10","Mindist+Opp",59,0,1
"333","MCTS-10","Mindist+Opp",0,19,0
"334","MCTS-10","Mindist+Opp",11,0,1
"335","MCTS-10","Mindist+Opp",0,57,0
"336","MCTS-10","Mindist+Opp",0,60,0
"337","MCTS-10","Mindist+Opp",34,0,1
"338","MCTS-10","Mindist+Opp",0,18,0
"339","MCTS-10","Mindist+Opp",31,0,1
"340","MCTS-10","Mindist+Opp",60,0,1
"341","MCTS-10","Mindist+Opp",2,0,1
"342","MCTS-10","Mindist+Opp",32,0,1
"343","MCTS-10","Mindist+Opp",22,0,1
"344","MCTS-10","Mindist+Opp",12,0,1
"345","MCTS-10","Mindist+Opp",24,0,1
"346","MCTS-10","Mindist+Opp",60,0,1
"347","MCTS-10","Mindist+Opp",20,0,1
"348","MCTS-10","Mindist+Opp",30,0,1
"349","MCTS-10","Mindist+Opp",18,0,1
"350","MCTS-10","Mindist+Opp",19,0,1
"351","MCTS-10","Mindist+Opp",12,0,1
"352","MCTS-10","Mindist+Opp",11,0,1
"353","MCTS-10","Mindist+Opp",0,39,0
"354","MCTS-10","Mindist+Opp",2,0,1
"355","MCTS-10","Mindist+Opp",20,0,1
"356","MCTS-10","Mindist+Opp",37,0,1
"357","MCTS-10","Mindist+Opp",24,0,1
"358","MCTS-10","Mindist+Opp",3,0,1
"359","MCTS-10","Mindist+Opp",0,50,0
"360","MCTS-10","Mindist+Opp",26,0,1
"361","MCTS-10","Mindist+Opp",0,60,0
"362","MCTS-10","Mindist+Opp",0,34,0
"363","MCTS-10","Mindist+Opp",60,0,1
"364","MCTS-10","Mindist+Opp",0,9,0
"365","MCTS-10","Mindist+Opp",4,0,1
"366","MCTS-10","Mindist+Opp",60,0,1
"367","MCTS-10","Mindist+Opp",0,60,0
"368","MCTS-10","Mindist+Opp",41,0,1
"369","MCTS-10","Mindist+Opp",0,26,0
"370","MCTS-10","Mindist+Opp",12,0,1
"371","MCTS-10","Mindist+Opp",15,0,1
